contest_number,info,prompt,caption1,caption2,caption3,caption4,caption5,caption6,caption7,caption8,caption9,caption10
573,validation,"scene: a hospital room 
description: A man is lying in a hospital bed with large headphones or a strange device on his head. A woman is sitting next to him, looking concerned. 
uncanny description: The device on the man's head is unusually large and not typical medical equipment. 
entities: Patient, Concerned_woman, Unusual_medical_device 
funny caption:","I asked my wife if she was still wearing her wedding ring. She said yes. I asked her if it had fallen off while we were having sex. We both looked at each other for a long moment. Then she said ""I think you meant 'while you were sleeping.'""",I’m thinking it was the size of the procedure that made her say yes.,"I think we can all agree that nothing says 'I'm fine,' like a giant tube down your throat.",I told her it was nothing. She said 'nothing? It has its own zip code.',I thought it was a brain tumor but it turned out to be an Amazon Prime subscription renewal,I told them it was a miracle. They said it could also be an implantable GPS tracker.,"When you said ""you have a lot on your plate,"" I didn't realize you meant you had a plate on your head too.",I told him it wasn't a brain tumor. He said he knew that.,I told her it was an experimental treatment for social media addiction. She said she knows someone who could use it too,"Well, I was expecting a lobotomy, but they went straight for my data port."
574,validation,"scene: a balcony 
description: A man and a woman are standing on a balcony. The man is holding a spatula and looking at a photocopier as if he is grilling something. The woman is holding a drink and looking at the man. 
uncanny description: The man is using a photocopier as if it were a grill. 
entities: Man, Woman, Photocopier 
funny caption:",I asked him what he was doing. He said 'I'm printing out my.',I have to ask - what kind of relationship ends with him still in charge of the printer?,I had to explain what a griddle was... but then she got the iron.,He's really good with copy machines.,"I asked her what she was doing with that spatula. She said, ""I'm not sure. He told me to grab whatever I could find.""","I'm not sure what she saw in him, but they said he had great copy.",I thought she was an attorney until I saw her in the divorce lawyers section of Yelp.,He said he could do anything with that degree.,I knew she was into paperwork when she filled out my profile online.,I was going to ask him what he's doing but then I realized he doesn't speak English either.
586,validation,"scene: a park or outdoor area 
description: A couple is walking their dog on a sidewalk. Above them, a giant vacuum cleaner is flying in the sky, with its hose extended downward. 
uncanny description: Vacuum cleaners don't fly in the sky. 
entities: Couple, Dog, Vacuum_cleaner 
funny caption:",I can only assume it was stolen from an apartment complex.,"I can see everything. Every speck of dirt, every pet hair. And yet I still can't stop cleaning.","If you see us, we're probably also looking for our car keys.",I’m just here to clean up any loose thoughts.,I was about to say something witty but then I remembered - that's not how you start this conversation.,"I’m not sure what happened to him."" ",I keep telling my wife we should get a pet that doesn't require constant maintenance but she keeps insisting on this one.,"I'm not sure if we should be concerned about the fact that there's a flying vacuum cleaner above us, or the fact that we keep hearing our neighbors yelling 'CURE THE CANINES!'",I keep asking Siri if we should be concerned about this but she keeps telling me to turn off the lights and unplug everything that isn't moving.,"I asked my husband what he thought it was and he said ""a big fucking vacuum."""
598,validation,"scene: a mountain cave 
description: A man is standing in front of a guru who is sitting on an exercise ball outside a cave in a mountainous area. The guru appears to be giving advice or wisdom to the man. 
uncanny description: It is unusual for a guru to be sitting on an exercise ball in a remote mountainous area. 
entities: Guru, Exercise_ball 
funny caption:",I’m not sure if he’s enlightened or just really good at squats,"Well, it’s all relative.","If I had a nickel for every spiritual leader I've met sitting on an exercise ball in a remote mountainous area, well...I have three hundred and fifty-seven dollars.",I’m not sure what’s more impressive - that you found me here or that I knew I’d end up here.,I'm not sure if it was the altitude or the ball that made him see things differently.,"I assumed they meant ""enlightened"" when they said you'd find it in the ball section.",I’m assuming this is where you get your ‘om’ from.,"If you can find your way here, you're not lost anymore",I’m here because I heard you could find your true calling outside of your job title.,I assumed he was meditating. Turns out it's just his chair.
607,validation,"scene: an art gallery 
description: A man is standing in an art gallery looking at a painting. The painting depicts people who appear to be looking back at him. 
uncanny description: The people in the painting seem to be aware of the man looking at them. 
entities: Art_gallery, Painting 
funny caption:",I'm not sure if this makes me feel better or worse about being followed into a painting.,He turned to leave but he couldn't. They were following him.,It’s called ‘The Gallery’s Eyes are Always on You’.,You know you're being followed when you turn around and see yourself.,It’s like they’re following you around everywhere you go.,I think I just made eye contact with someone I met five minutes ago.,It’s called “The One Who Stares into the Mirror.” He did it in three sittings.,He moved into the room with the portrait and it was like moving into a new neighborhood where everyone knows your name.,When you lie on your resume and they call to verify it.,I told my wife we were going to the art gallery and she said 'Why?'
609,validation,"scene: a subway station 
description: Two people are walking through a subway station. Instead of a train, there is a giant sandwich on the tracks. 
uncanny description: A giant sandwich is waiting at the subway station instead of a train. 
entities: Subway, Train, Food 
funny caption:",It's the only place where you can say 'I'm on a roll.',I’m sure it’s just a bagel.,I miss when we used to be able to identify objects without having to ask Siri what's in front of us.,"The only thing missing is a sign that says 'Pretzel on the left, hot dog on the right.'","I've been taking the ""sandwich"" route for years now",I guess this is technically 'on time'.,I’ll meet you back here in twenty minutes.,"It’s not just any subway; it’s a Philly cheesesteak. And yes, I know what you did last night.","I'll be honest, it took me longer to get here than I thought.",I’m not sure if this is a sign that New York has lost its mind or if we’re finally figuring it out
610,validation,"scene: a visiting room 
description: A woman is sitting in a visiting room, talking on a phone. On the other side of the glass, a chef is also talking on a phone. 
uncanny description: It is unusual for a chef to be in a visiting room behind glass. 
entities: Woman, Chef 
funny caption:","I’m actually here on business,"" said the chef. “I heard they were serving a lot of visitors.",I’m a lawyer. It’s the same thing.,"I'm sorry, what do you mean it doesn't sound like a lawyer?","I'm not sure why we have a visiting room for chefs, but I think it says something about how much we value our employees.","I’m here to visit my wife, but I have some business with the head chef first.",I’m not sure who’s more nervous right now—the guy in cell block six or his wife when she gets home.,I'll just call them both from the morgue then.,"If you've been held captive by someone who only speaks French, this will sound familiar.",I’m just here to deliver food but it’s been three hours and they haven’t given me any directions.,I'm not sure if they let visitors cook in their hospital rooms but it's worth asking.
611,validation,"scene: a city rooftop 
description: A pigeon and a small dragon are standing on the edge of a building rooftop in a city. The dragon is spreading its wings as if preparing to fly. 
uncanny description: Dragons do not exist and cannot be seen on rooftops with pigeons. 
entities: Pigeon, Dragon 
funny caption:",I can’t believe you’re telling me right now that you’ve never seen a pigeon and a dragon together before,I've been a lawyer for twenty years. And today I represent... a pigeon and a dragon.,"I said we were done talking about it. He kept saying 'when the last firecracker explodes,'",There's something about seeing a dragon that makes you forget how many times you've walked into glass doors today.,I told my wife there was a 20% chance we'd see a unicorn today. She said there's only a 1% chance we're still married tomorrow.,It’s the one thing I’ve always wanted. And it just flew right into my apartment window.,It's either an imaginary rooftop or I just have terrible vision.,"If you think that's a rare sighting, try finding a human who hasn't been glued to their phone for two years straight.",It’s either the last day on Earth or just another Tuesday.,I told my wife I saw a dragon on our apartment complex. She said that's where we live now.
613,validation,"scene: an interrogation room 
description: A suspect is being interrogated by two detectives in an interrogation room. One detective is leaning over the table, while the other is holding a balloon animal. 
uncanny description: It is unusual for a detective to hold a balloon animal during an interrogation. 
entities: Suspect, Detectives, Balloon_animal 
funny caption:",I’m actually here on a complaint.,I'm actually here on behalf of the balloon. We had a complaint about its treatment.,I'm not sure if it was the balloon or his demeanor that got him confessed.,I’m getting a bad feeling about this one. He keeps asking if he can talk to his lawyer ... and his mother.,I’ve been working as a cop for twenty years and I still can’t figure out what he's guilty of.,"I'm starting to think that's not just a balloon animal, it's also evidence.","I'm not saying it's illegal to hold a balloon animal during an interrogation, but it's certainly...unusual.",I’m starting to think we should have hired a clown.,The truth came out of the balloon.,"I'm starting to think this isn’t about solving crimes, it’s about keeping kids entertained while their parents get grilled."
616,validation,"scene: an office 
description: A man is sitting at his desk in an office, looking at another man who is holding a small, identical version of himself. The small version is holding a piece of paper and appears to be talking. 
uncanny description: The man is holding a miniature version of himself, which is not possible in reality. 
entities: Office_worker, Miniature_self 
funny caption:",I was going to say something about how life imitates art but then I remembered we're in an office.,There’s no way he could have gotten this right without asking me a few questions first.,I just sent myself an email. It was from my other self.,"I’m getting old. First it was my hair, then it was my memory, now it’s me.",I’m still figuring out if this is the best or worst day ever.,I was about to ask him if he knew how small I was when he walked right into it.,It’s hard to see the big picture when you’re so focused on the little one.,"He’s the same height, weight, hair color, eye color, blood type, even has the exact number of freckles on his left shoulder. Yet somehow I still have no idea what he’s saying.",I’m actually here for the meeting with my other self.,It’s been three months since I got this job and I still don’t understand half of it.
629,validation,"scene: an indoor climbing gym 
description: A woman is rock climbing on an indoor climbing wall. One of the climbing holds is shaped like a human face. 
uncanny description: Climbing holds are not typically shaped like human faces. 
entities: Climber, Climbing_wall 
funny caption:","I told him he had great hands, but I couldn't find it in me to say anything else.","I told him it was just a climbing hold. He kept saying 'no honey, you're in my personal space now.'",I’m dating someone who sees me as a challenge.,"I told my wife she was beautiful. She said 'Well, it's a start'.",I’m just here to meet my new best friend. The one with the grip.,It’s called ‘face hold’. You learn to recognize them after you’ve been dating online for six months.,"I'm telling you, she moved when I touched her nose",I’m not sure what’s more terrifying; falling from this height or recognizing myself in every single climbing hold on this wall.,"She says she's fine. I ask if she'd prefer to talk to someone. She replies, ""I already did.""",It’s more of a “meh” hold.
636,validation,"scene: a construction site high above the city 
description: A group of construction workers are sitting on a steel beam high above the city, eating lunch. Among them is the Grim Reaper, holding a scythe. 
uncanny description: The Grim Reaper is casually sitting and eating lunch with the construction workers. 
entities: Construction_workers, Grim_Reaper 
funny caption:","I have to admit, I'm dead impressed.","I’m not sure how this works in legal terms, but we have an employment agreement with Death himself.",I’m actually here for the insurance adjustor.,I'm not sure if they noticed him or just assumed he was there because no one else has died in over an hour.,"I'm here to reap what you sow. And by 'sow,' I mean, 'sign up for an online survey.'",I’m dying to ask how he got up there but they say you can’t ask a man in uniform,I'm here to tell you that you're going to die eventually. They just don't know when or where yet.,I guess you could say it was a death-defying meeting.,"I called it an ""afterlife project"".",I'm starting to think death is just another contractor that hasn't finished his project yet.
637,validation,"scene: a yard 
description: A man is raking leaves in a yard while another man stands behind a rope barrier, watching him. 
uncanny description: It is unusual for someone to be raking leaves while another person stands behind a rope barrier observing them. 
entities: Rake, Observer 
funny caption:",I’m not sure what’s more surprising – that he’s still out there after three hours or that you hired an independent contractor to watch your neighbor mow his lawn.,The only thing more awkward than this would be if I asked you out on a date and then gave you directions from the back of a room with string tied to doorknobs.,"Well, you’ve certainly taken the ‘leaf’ out of it.","I’m not sure which one is more impressed with the work ethic of a single mother working three jobs to provide for her children, but I think we can both agree that neither are qualified for it.",I didn't know what I was looking at until you pointed it out.,I’m just here to remind you that this is not how it ends.,I'm pretty sure I just described every crime scene ever.,I don't know why we keep sending the guy who can barely put on pants without getting arrested.,"If I told you he was working from home, you’d think I was lying.","I know it looks like he's guarding the leaves but trust me, he's actually just really good at standing behind ropes."
646,validation,"scene: a snowy mountain 
description: Two hikers are on a snowy mountain slope, having a conversation. In the background, a yeti is walking up the slope. 
uncanny description: It is unusual to encounter a yeti while hiking. 
entities: Hikers, Yeti 
funny caption:","If you're going to have an existential crisis on this mountain, at least do it with a view.",I told my wife we were going for a hike in the mountains. She said 'I thought you meant we're getting divorced?',"I think we just witnessed something that only happens once every seven days. And one of us said 'Oh look, a yeti' five minutes ago.",I always knew we were being followed by something that starts with an 'S.',"Actually, it's pretty common. Most people just don't recognize them until they get closer.","I told my wife we were going on a 'hike.' She said 'Great,' then put her pants in the dryer.","I’m not saying we saw Bigfoot, but we did see something with four legs and an enormous amount of self-esteem.",I'm not saying we saw Bigfoot. But we did see something with seven toes and an overcoat.,I said we should bring binoculars. She said we should bring a gun.,It was an abdominal snowman.
661,validation,"scene: a fairytale landscape 
description: Snow White is standing and smiling while the seven dwarfs are roller skating around her in a joyful manner. There is a castle in the background. 
uncanny description: The seven dwarfs are roller skating, which is anachronistic for their time period. 
entities: Snow White, Seven Dwarfs, Roller Skates 
funny caption:",I told my wife she was drawing her eyebrows too high. She looked surprised.,I'm calling it now - the only thing more dangerous than a poisoned apple is a group of elderly men on roller skates.,"I told them I was going to write a book about our adventures,"" said Cinderella. ""They asked if it would be titled 'The Little Girl Who Got Away with Murder.'",I told him it was a fairytale ,I knew she was trouble when she gave me the address with three letters that weren't part of the alphabet.,I'm not sure why they chose to bring me back as a ghost if I can still go out and get hit by cars.,"If you see me on the news today, it’s because I was arrested at Walmart wearing lace-up slippers with glitter and confetti on them.",It’s a good thing that’s all they’ve got left to live on.,"I'm more of a glass slipper person myself, but we all have our quirks.",I'm not sure if there was a mishap or if they just decided to go with it.
663,validation,"scene: a kitchen 
description: Two people are looking at a pizza box on a table. Inside the pizza box, there is a miniature scene of two people having a romantic dinner. 
uncanny description: It's unusual to find a miniature dinner scene inside a pizza box instead of a pizza. 
entities: Pizza_box, Miniature_people 
funny caption:","I ordered online and it said ""you will receive a large pizza"".","""I told her I got us takeout. She said 'No, you didn't,'"" says the man in the photo.",I ordered a large pepperoni with everything. They gave me a small New York Times crossword puzzle and a divorce decree,I ordered a large and extra cheesy. They gave me a divorce settlement.,I ordered a large pepperoni and they gave me an entire relationship.,"I told her I was bringing over dinner and she said ""fine.""",I ordered a large pepperoni and was.,Why do we keep getting divorce papers in our pepperoni?,I ordered a large pepperoni and found a marriage proposal.,I ordered a large pepperoni and it came with an entire relationship.
681,validation,"scene: a city street 
description: A man and a woman are walking down the street. The man has crab claws instead of hands, and the woman looks annoyed. 
uncanny description: It is unusual for a person to have crab claws instead of hands. 
entities: Man, Crab_claws, Woman 
funny caption:","If you see someone with crab claws, don't ask how they got them. You already know the answer.","I hate it when he says ""I'm just here for the lobster.""","If you see them together again, don't bother calling anyone. They're already divorced.",I'm an AI language model. I can identify over a thousand different types of crustaceans. What do you want me to call yours?,"I was going to ask if you needed help with something, but I don't think either one of us can hold anything.",I'm calling it. They're getting divorced.,I'm allergic to the truth.,"I'm going out on a limb here, but I think he's single.",I'm not sure if it was a typo or if my ex-girlfriend just had very specific tastes in men.,"If you see this guy stealing lobsters from the grocery store again, don't worry. He's been fired."
685,validation,"scene: a forest 
description: Two hikers in the woods encounter a giant honey bear bottle with a spout on its head. The hikers look surprised and cautious. 
uncanny description: A giant honey bear bottle with a spout on its head is walking in the woods, which is not something you would ever see in real life. 
entities: Hikers, Anthropomorphic_honey_bear 
funny caption:",I told my wife we were going on a hike. She said 'okay.' Then I showed her the honey bear with a spout on its head. That's when she said 'no.',I’m a journalist. I cover things that happen every day but no one talks about.,"I know what you're thinking. How much do they weigh? Oh, you mean the bottles.",I’m going to have to call this one a tie.,I think we all know what happened to Mr. Maple Syrup.,I'm still waiting for the part where they try to open it with a stick.,"I told them I was bringing back an anthropomorphic honey bear,"" said John, ""they just assumed it was my wife.","I’m afraid we can’t let you go, sir. We’ve already had three complaints about your excessive use of nature as a metaphor for work problems.","I told my wife we were going for a walk in the woods,"" says John. ""She said 'Oh great,' pulls out her GPS, and starts driving.",I think we all agree that no one would have believed us five minutes ago if someone had told us we'd be here today.
695,validation,"scene: a restaurant entrance 
description: A waiter is standing at a podium, looking surprised at a slice of bread with a face, arms, legs, and a bow tie. 
uncanny description: Bread does not have human features or wear bow ties. 
entities: Waiter, Anthropomorphic_bread 
funny caption:",“I’m calling it ‘the rising crust.’”,"Well, it's certainly a roll out the red carpet ",I’m glad we could find someone to judge the appetizer contest.,I feel like I'm the one who just met Greg.,I’m not sure we can serve you here sir. We only serve people.,I’m sure it’s just some sort of artisanal pastry with a personality disorder.,"I’m sorry,” said the waiter, “but this isn’t on our menu.""",I’ve been working here for three months. Last week I saw the tablecloth throw up.,When you ask for the specials and they bring you an entire country's history on two slices of bread,I’m still trying to figure out which one I’d rather be served by.
696,validation,"scene: a dining room 
description: A cowboy is pouring coffee from a pot into a coffin that is placed on a dining table. Two people in formal attire are sitting at the table, looking at the cowboy. 
uncanny description: It is unusual and unsettling to see a cowboy pouring coffee into a coffin at a dining table. 
entities: Cowboy, Coffin, Diners 
funny caption:",I’m not sure what’s more bizarre—the fact that there’s a cowboy doing this or the fact that we’re still seated next to them.,I’m not sure what’s worse—the fact that you’re dead or the fact that he’s still wearing your hat.,I'm not sure how you get through college without seeing this exact same thing.,I don’t think I’ve ever been more disappointed to be referred to as “ma’am.”,This is what you get when your wife asks for a 'rustic' wedding.,I'm not sure if we should be thankful or offended.,I’m not sure if this is a hostile takeover or just a really weird dinner party.,I’m pretty sure we’re not supposed to meet your funeral director until after lunch.,I’m not sure how much more subtle you could have gotten.,I’m not sure if we’re being served or eulogized right now.
697,validation,"scene: a train station 
description: A man is walking the plank off a train, while a pirate and another person watch from the train door. 
uncanny description: It's unusual to see a pirate making someone walk the plank off a train instead of a ship. 
entities: Pirate, Train, Plank 
funny caption:",I think you misunderstood. You just missed your stop.,I said I was going on a cruise. They said they had room on this one.,I think we can all agree that walking the plank off a train is not technically accurate. You should be standing on the tracks.,The only thing missing is a hook.,"I told him it was a simple boarding pass, but he insisted on calling it something dramatic.","I asked if he was on the right track. He said yes, but it took me five minutes to figure out he meant the track beneath him.",I have no idea what you did on that cruise ship either.,"I think you mean ""walking down the stairs.""","I know it doesn't add up. The plank was delivered, but there were no stairs.",Well it wasn't on my bingo card but it completes the trifecta of public transportation disasters.
700,validation,"scene: a pharmacy 
description: A centaur is standing at a pharmacy counter, talking to the pharmacist. The centaur is holding a prescription bag. 
uncanny description: Centaurs are mythical creatures and do not exist in real life. 
entities: Centaur, Pharmacist 
funny caption:","If you’re ever prescribed something that says “to be filled by a mythical creature” just remember, it’s working.","I'm here on behalf of my wife. Her name's Pegasus, but she goes by 'Medicaid'.",There’s no such thing as insurance coverage for an ass wound.,I'm here for my penicillin and dignity.,"If you don't recognize him by his bow tie, look for his unicorn.","I had no idea they prescribed things like ""I can't stop thinking about myself.""",I feel like we're in an entirely different species of pharmacy.,I think we're going to need a second opinion on that prescription.,I’ve been prescribed a unicorn. The doctor says it’s for my horn-itis.,I’ve been here since 2 pm. I said ‘I’ll be back’.
701,validation,"scene: a restaurant 
description: A waitress is taking an order from a mouse that is sitting at a table and holding a menu. Other patrons are visible in the background. 
uncanny description: Mice do not sit at tables and order food from menus in restaurants. 
entities: Waitress, Mouse, Menu 
funny caption:",I’ve been working here for five years. It’s only now that I realize I don’t work here anymore.,I assume you want to hear about his previous work experience?,The only thing more oblivious to their surroundings than Trump supporters are mice in restaurants.,I'm going to go out on a limb here and say yes.,"Well, well, well. It appears you’ve fallen into our trap.",The only thing scarier than ordering at this place would be leaving it.,I asked my wife if she ever ate at a place where mice were the only customers. She said yes. It was called a divorce lawyer's office.,The only place I've ever seen a five-star Yelp review for a rodent-friendly establishment.,I’m still trying to figure out what’s more impressive - the fact that you’re ordering for yourself or that you’re ordering for someone else.,I told my wife I saw a rat ordering food and she said 'Where?'
706,validation,"scene: a forest 
description: Two hikers with backpacks and walking sticks are walking through a forest. They come across two subway trains labeled ""2"" and ""A"" in the middle of the woods. 
uncanny description: Subway trains do not belong in the middle of a forest. 
entities: Hikers, Subway_trains 
funny caption:",It's actually really quiet on the subway today.,I told my wife we were going on a nature walk. She said fine. Then she looked at me for five minutes without saying anything.,"Well, I'll be on the next stop.",It’s 10am. You said you were going for a run.,I think we took a wrong turn at Grand Central.,"I told her it was odd we were seeing so many Trump supporters on our hike. She said, 'It's New York.'",I always assumed public transportation stopped at the edge of town.,I know it's hard to believe but this is actually New York City. It just looks like we died.,It's actually quite commuter-friendly once you get past the whole 'forest' part.,I think we're taking the wrong exit.
