0,1,2,3,4,5,6,7,8,9
I couldn't decide between sports and music,My next selection is Rope-a-Dope in C Major.,"Now, I'll knock out a number that you all know.","You may notice me pounding the keys tonight with a little more punch than usual, folks.","Hello everybody, my name is Wolfgang Amadeus Balboa.","And now, for your listening pleasure: the John Philip Sousa rendition of ""Kitten on the Keys"".",I will now try Bach-sing.,"I will now play ""Flight of the Muhammad Ali""",I have always been a fierce competitor!,"I am about to play Rockymaninoff’s
Symphonic Dances"
I've been working on that all day.,"When you consider what it's meant for our commute, the noise is negligible.",Next bathroom express in 11 minutes.,I feel I'm wasting my life on the wrong side of the tracks.,I suppose every man needs a hobby.,We couldn't decide which side of the tracks to live on.,"... and, although it’s noisy, it knocks half an hour off the commute.",We plan to charge tolls when it becomes an urban trail.,He says his dream all his life has been to own a big train set.,It's quite delightful except at 4:10.
"Evidently, the Candyman couldn't.","Without a freshness date, I just can't.",I'm hoping it's a stop for Disney Cruises.,I thought we could finally diet in peace over here.,"If you draw a pink card, you go directly to Candyland.
If you draw a blue card, you'll be swimming with the sharks.",Thank God we're on the keto island.,"Mirage or not, the glycemic numbers have to be off the charts.","Go ahead, I'm on a diet.",Now this is a National Emergency!,But did you actually see the sharks making it?
"I'd like to point out that my party's constituants own, or otherwise directly control, ninety-eight percent of my opponent.","You say 'global warming,'  but what do you really know about it.","Alright, let's put a pin in it.",How does it make you feel when people say they want to change you?,All I said was we deserve better than Uranus.,Wait a minute! You're not the only one to have a global approach.,"There you go, getting all hot and steamy again!",yeah? well you're fat,...and my ever-vacationing opponent is even now somewhere in the Pacific.,How can we believe that you speak on behalf of everyone?
This is my first Game of Thrones Red Wedding. What will the reception be like?,"I give it two raiding seasons, max.",I knew she wouldn't be wearing white.,Do you Leif  take Geisel  to  be your lawful partner in pillaging and plundering so long as one of you shall live,Did anyone tie tin cans to the swan from Asgard?,Don’t you find it odd.. accessorizing with fannypacks at a wedding,Let's hope the bouquet is not a battle axe.,The other Valkyries are flying in.,Kill the wabbit...Kill the wabbit...,"I think she killed. Something old; those clothes, something new; her third husband, something borrowed; that broad sword, something blue; the color she'll turn when they celebrate their honeymoon in Norway."
Guilty! I sentence you to four score and 6 years.,If you have a rabbit in that hat pull it out now,Evidence does just does not disappear!,We know juror number six didn't just saw herself in half like that,C-O-N-T-E-M-P-T.  I’m spellbound.,"You swore to tell the truth, I don't care about the magicians code, so answer the question. Who hired you to cut the lady in half?","Look, if the prosecution’s top half doesn’t reappear in the next two minutes I’m holding you in contempt.",No you may not make yourself disappear.,It's not a magic trick if you really saw your wife in half.,"Answer the question, where did your assistant go after you made her disappear?"
"Sometimes, I wish had the moves like Jagger, too.","They say “Red, red, wet the bed”",This couch so reminds me of Marilyn.,How do I feel? Balmy!,"Doctor, explain again how the mirror on the ceiling helps my therapy",It doesn't help that your sofa reminds me of my ex's mouth.,Thanks for asking. Make mine a Tanqueray martini on the rocks with 2 olives.,Are these lips really molded from Mick Jagger?,"Did I mention, I have an oral fixation?",You'll need a larger notebook than that for my tale of woe.
What ever it takes to get him to stand up.,And this is my Tommy. He does podcasts on the shipping news and air traffic for the White House.,You folks have been great!,And he's not even using a teleprompter!,I TOLD you he would run for President one day!,She wants to sing us a lullaby she wrote.,"Look, look! He's standing up! And doing stand up!",Did she just say that she takes requests?,You may be wondering why I've asked you all to gather here today.,He will have a sound future.
They insisted on paying less for a group ride.,They're at it again.,Skeeters are bad today.,"Oh, please can we keep them? They only live 85 years.",It feels good until they go back in the cave.,Forget fish pedicure. THIS is the latest trend.,I feel manipulated.,I’m trying a new naturopath,I'm glad you're sitting down for this...I may have an STD.,"Okay, you win.  I'll call pest control first thing in the morning."
"Yeah, but you're kind of in pain, right?",Let's double down on the Ambien.,It's bubonic plague. Seems to be going around recently.,"Think of it as a clinical trial, not a trap.",This script should address your hallucinations. Now promise me you’ll go easy on the sticky traps.,"It's just CBD, there are no side effects.",This has worked well for my friends and relatives.,It's been quite effective with rats.,"Call my friend at Terminix, he can get you your Warfarin cheap.","What's wrong, do you smell a rat??"
This is gonna take a bit longer. Go to bed and we can have it for breakfast,"Well, that's the last time I send your father out to do the shopping!","Sorry sweetie, I know you loved your birdie, but a man gotta do what a man gotta do!",Just doing a little meal prep for the week.,Kentucky Fried Pterodactyl Grand Opening.,At least there’s one upside to nuclear fallout.,"Gathering was so much easier

Jon E",What do you mean you want chicken balls instead?,You sure you don’t want to join me on the Paleo diet?,"You wanted paleo, it's what's for breakfast."
Purrfect Catnap Vision,I wish for a fish in a dish.,Definitely should not have gotten a pet with telecathic powers.,"Not even in his dreams, John, MD, CAT scan specialist, could stop focusing on his job.",Could you at least turn off your high beams?,I must admit a small part of me remains relieved I never married.,"Now, open the fridge and serve me my glass of milk.",Misty! You are spending too much time near the microwave.,'Mind-Control' Parasite Toxoplasma Gondii strikes again.,We really are jerks
You win—the oak’s all yours; I just couldn’t bear another one of your  ‘leaf’ or ‘fall’ jokes.,The party was over a long time ago.  Why are we always the last to leave?,Goodbye. I must leave you now.,"With some luck, we'll end up in the same compost.","In the larger scheme of things, a compost pile wouldn't be such a bad deal !""",This beats a no deal Brexit.,"Remember, Frankie, we’re leaves, not stays!",Sorry Janet. I'm leaving you for a perennial.,"Tell me - my memory's failing, Are we Falling Leaves or Autumn Leaves?",Just don’t think I’ve fallen for you.
"Phil, here, is our new Head of Inhuman Resources.","And now we will hear from Jeff, who will discuss the value of having a pet in your life.","Let's all welcome Bill, our new general counsel, who comes to us straight from the Department of Justice.","Meet our new lobbyist, Dave.",Let’s see what’s left over at Barney’s,"And finally, it's Brad's last day; he's the new SCOTUS nominee!",Looks like the whole family's here.,Creatues ... the IRS has dropped tax exemption on Area 51,"I’d like to welcome once again, Don Junior. While we fulfill our roles here in the White House, Don and his father’s loyal associates will continue to oversee the swamp.",I’m pleased to announce that the board has reached the ultimate in diversity.
"They're on the left, and no, I can't assist you any further.","Thyssen, we have a problem.","The eagle has landed on the 4th floor: Women’s perfumes, lingerie, assorted confectionery.",Dress for the job you want,"Baby steps,right?",How are you enjoying the penthouse?,"The Apollo is at 253 West 125th Street, Sir.",Projected landing on the surface of the fourth floor in T-minus fifteen seconds.,The weather outside is frightening.,"Yes sir, Van Allen belts in menswear"
"Is there anybody here who feels this low?
Under fifteen feet of pure white…",Ready for more Reddy?,This one I call 'My squirrel got squashed by the snowplow...',"OK, you don't like ""Let it Snow!""  How about ""Sixteen Tons""","I'm dreaming of a white Christmas or how about a rousing rendition of let it snow, let it snow, let it snow?",Quick! My fingers are getting numb!,He's got those ol' honey-do blues again.,"Oh, let me serenade the shoveler.  His legend goes far and wide. He's mellow on the inside, but a monster once outside.  Oh, let me...","No, I don't know that one.  How about ""Sixteen Tons""?",He'll...be...shovelin' 'round the mountain when he comes!
Is this really about who's turn it is to do the dishes?,"Is this a ""This is Us"" situation?",How to start a therapy practice in a Manhattan studio,The world's first Three-apist,Number Three: How old were you when you found out that your mother liked your brother better than she liked you?,a therapy session for compulsive liers,"BTW, The top bunk get first dibs on the fire exit plan.","Before we start with our first group therapy session for bed wetters, does anyone have any questions?",So you're having trouble agreeing on a democratic nominee?,You're suffering from multiple personalities?
I have a better view when I watch it ‘live’ on my phone”,"When you suggested we needed to branch out when it comes to music, this isn’t quite what I had in mind.","not bad, but nobody does Little Wing like Jimi","Look darling, even she’s upskilling!”",She’s got her channel up and running this stay at home season.,He must be working on his country album during quarantine,Some call me the songbird of my generation”,When did he go solo?,There was division in the band as to whether it was safe to tour.,"...this time of year it is try to attract groupies, roadies and press coverage."
Your laugh generator needs replacement.,Apparently the uber driver got a call from a Stephen Sondheim...,What's the senator doing in your clown car? This is quite wrenching.,It's making some funny noises.,Uh oh. Looks like this bozo up and quit on you.,It's your Carlburator.,He was aftermarket,"There’s your problem, that clown has gone all corporate on you.","See, you've only got one pedaling.  The others are just clowning around.",Tom was beginning to consider the serious lack of ventilation in the garage.
"Your book Troglodyte Memoir made me think we might share a leaf on caveman.com.""","Hi, I'm with the Dragon Anti-Defamation League!",For once I'd like to be pigeonholed as the nice guy.,"Just a minute, the sign outside said ""Eat The Author.""","I misunderstood—I thought I'd be able to ""eat"" the author.",Why is it so amazing that we reptiles have always loved to read?,"You know, there weren't a lot of female authors back in my day.","Next novel, she promised herself, she would spring for the Deluxe marketing package","Validate my parking""
""No","You titled your book, ""Puff the Magic What!!"""
The elevator is down the hall to your left.,"So please, tell me you psychological reasoning for escaping prison. I really would like to know!",This new personality of yours... you say you work for Con Ed?,Digging out of  a problem probably won’t work.,"Now as I was saying, if you find yourself in a hole.",Typically the hole is just a metaphor!,"That isn't what I meant when I said ""The only way out is through"".",You're digging your way to China because it has better control over Coronavirus?,"Tisha, the expression 'Let's dig deeper' was meant to be metaphorical and not literal.","You've shown how deep your your problems are, so if you lay on mat, we'll explore ways to burry them."
You are not a handmaids and no you can’t check my tail.,At least I can still smell my own but.,Being a guide dog has its occasional perks.,I googled these things. They untie and come right off.,Just got my second vaccone. When’s yours?,I can see much better this way. Do you think my people will notice?,"Mark my words - by next week, everyone will be wearing it like this.","When you reverse it, you become a god.",Streamlining!  I go faster.,"What do you mean I have it backwards? 
How do you know which way I'm going?"
He's friendly enough but I think he looks down on us.,"You're right, Doris. From this angle it definitely looks like he's lost weight!",I told you... he’s Australian.,This must be the best of all possible universes.,I hope this doesn't mean we have one of those new COVID variants?,"Oh, that’s Ryan, he’s Australian.",We’ve been watching too much Stranger Things.,He’s been upside down in that place ever since he bought it,"It's the same thing every damn morning: ""See you on the flip side,"" he says.",He's in a bubble.
DO YOU HEAR AN ECHO?!,Stay in touch.,Mine's a LL Bean. Is yours a North Face?,"It beats the mask, but garlic is a big “no”.",Where’d you get Dubble Bubble?,These new support bubbles are doing nothing for my shallow arches.,Interested in a little burst?,We've made a total commitment to transparency.,"Maynard G. Krebs, is that you?","I used to have more people in my bubble, but they moved. Seems to be a trend..."
Our library has gone mobile.,"Buddy, can you spare a chapter?",I hate it when I fall asleep reading.,"The first rule of Book Club is you don't talk about Book Club, but you better bring a dip.","Okay,okay. No more Kindle.",The authorities have to get this higher literatute under control.,"Ugh, I wish your friends would just open up.",Don't blame us -- we're Boomers.,Forgive War and Peace. He likes playing the heavy.,They’re the ghosts of the books I bought but never read. They always follow me into the bookstore.
Bernice gives new meaning to the term ‘open office’.,No job offers yet son. But I'm on it.,Well what do you know? I guess I do get more work done outside!,Fix your own damned breakfast!,"Honey, you were right. Now that it’s warm again, outside is like a whole other room!",Sorry Steve. I’m out of office,My company told me to start working 20% remotely,Your self-help book  “ Be Authentic”  just seems wrong if I keep forging your signature!,"If you have a moment, I'd love a cup of coffee and twenty-five children.","Yes sir, so far the total is masks 88%, no masks 5% and don't give a shit 7%"
He wants to know if you’re Kosher,"Well, one of us is going to have to make lemonade out of these.","He’s just being a friendly neighbor. They look good. C’mon, it’s not like a little sugar is gonna kill me.","Honey, lemons will only help you lose weight. I mean, look at him”",What happens when Death gives you lemons?,We're trying to source local,My whole life I've been waiting for this moment.,"Honey, do we still have that juicer your mother gave us?",It’s all part of my low carb high fat keto diet.,I know a guy who can make these lemons into grenades.
"Its all about the journey, but hey, you knew that coming in.",So you're the love child of a toaster and a VW bug?,Not gesturing back to other drivers is just something you'll have to live with.,Your hour is up-it took you too long to self park.,"Tell me your feelings about receiving a speeding ticket. Honk once for ""unconcerned"". Twice for ""upset"".","You know, there is a big difference between self-driving a self-actualization.",We'll have to wrap up. My 4:30 Tesla is waiting.,"Where do I begin? Well, for starters, I'm not allowed to pass!","You can call it ""image capturing"" all you want. The diagnosis is still voyeurism.",Accept it---you'll never be a pedestrian.
"So I told him, 'Why NOT reinvent the wheel?'","It's a mid-life crisis thing, he's going back to square one.",George is a reinventor.,He's been working on that since 3500 BC.,It's a porthole for his man cave.,He's trying to bring back rock and roll.,I told him I wasn't going to be just the other millstone.,"Basically, if you tell him he can't ""re-invent"" something, he does.",As soon as he finishes the C and the M we'll launch 'Hollywood.com.',There he goes again... He thinks he's going to reinvent the wheel!
"As you can see, we brought the new plant on line ahead of schedule and under budget.",I think Mr. Jones has taken this vegan thing too far,There may be some lingering resentment.,Let's talk about growth.,I'm leaving the plant.,I would like to introduce the new Chair of our perennial board meeting.,...and silence swept the room.,"I know they wanted us to go green, but this is a bit much",It was the board's answer to run-away executive compensation.,"I'll tell you a little about me.My roots were in the GMO Research field, but then I decided to get my MBA."
"NEXT! NEXT! NEXT! NEXT! NEXT! NEXT! NEXT! Sorry, it's my lunch break",It's okay. I come from a long line of patient pessimists.,"Next! Anyone, anyone?",Don't feel bad. My wife's seat is three behind yours.,"...and so, the subject of tonight's lecture, ""Is apathy a problem in modern society?""",and the last shall be first,I think you'll find we are a vertically integrated organization Perkins,"No, I'm not trying to insult you, however, your cologne, if that's what you call it, stinks.""",Why do you think your chances aren't good?,"So, you want to be Secretary of State?"
Trump....you suck!,"Okay, liberal New Yorkers! Welcome to the inaugural Trump Reality Cruise.","He may grab you by the p**** but don't worry girls, he won't get you wet!",Could that really be the golden door?,Now that's a problem of biblical proportions!,I don't think anyone of us are ready for the Republican wave,Really scary....but did you know you can save 15% on your car insurance?,"And to your right is Trump Tower, offering the ""huddled masses"" a different perspective.",Derivative of James Cameron and Katsushika Hokusai while still evoking that Fukashima glow. How cliche.,This wave in particular was inspired by Donald Trump.
This is going a little too quickly for me.,Please don't tell me you made that with forbidden fruit.,"Trust me, God didn't say anything about apple pie.",Where did you get the recipe?,I forgot the ice cream.,But are the apples organic?,He said no gluten.,You do know I'm allergic to cinnamon right?,"Yea, even in a pie I think it's still considered 'Forbidden Fruit.'",Want some Humble Pie?
This is 'Snowflake' - over...,"Mommy, can you bring my tax refund?","Sweetie, I'm sorry I was acting like a baby--can I come back to bed now?","Demean me all you want, your factory jobs aren't coming back.",I'm not going to sleep tonight until you give me back my iPhone.,Can you at least get me an iphone?,I'm older than the babysitter.,But the really weird part is my nightlight.,"Mom? Not that it hasn't been a lovely visit, but maybe tomorrow we can go out and get you a cat or two.","Mommy, I dreamed that the liberal media are trying to silence me again!"
"Did you just say ""you're nuts""?",I'm seriously considering LASIK.,Two heads are better than none.,Hey what are you doing in there?,My phone was tapped,They'll never find us now.,so I'll scratch your back if you scratch mine...,We really need to find a new couples therapist.,"What is done in the cone, stays in the cone.","What I tell you stays here, okay? Cones of silence."
Pete Townshend called. He needs his back-up singers for a comeback tour.,"Dowels, Mrs Johnson.W we make furniture. We need a case of dowels.",This board meeting is going to be a real hoot!,Many sets of eyes are watching you.,The mouse problem isn't that bad.,I told you I was a night owl.,"I'll take that one."" ""Who?",I warned you not to schedule your own parliament meetings.,Please bring me the Wise files.,I don't give a hoot what you think.
"This weekend, Wall Street's occupying me.",Who has time for pants?,"Everybody else is getting to work at home, so I thought this would make sense.",could do my job if there was a head board.,Who could ask for anything more?,The boss said I might have to sleep standing up.,I've been up all night.,YOU were the one who told me to show up undercover!,This company's expectations are way too high.,I had trouble getting out of bed this morning.
Should I be concerned that they're filling beer cans with my blood?,Susan now understood what her friends meant when they said Bob brought the party with him wherever he went. She was done with blind dating.,It's coming back. Doubleheader. Beer vendor. Frantic hands blocking view.,The game is about to start. Cheers to beers on my ears.,They promised to let me out in time for the ball game.,It's all my insurance covers - IVs are an out-of-pocket expense.,Just in case.,It's gin and vermouth.,It's not serious.,You had your Pabst smear. Now it's my turn.
"Hurry up James, The President Trump is about to arrive",...and for the main course we have flambéed attaché with spicy roasted pencil shavings and a local pink slip gremolata.,Is that another one of your half-baked ideas?,I prefer work rare but of course the boss always wants well done.,This must be George Foreman's lawyers grill?,"A little bit of A-1, and it will be just great!",You're frying them? Your ideas were already half-baked!,I can never tell when these are done,"The butcher promised me cooking this would be brief.""",Oh great it's Dad's 'world famous turkey jerky'.
"Well, for starters, tell us what you mean by 'dog lovers.'","Dustballs, run!","I see the power, but it seems a little short on glory.",All they seem to want is the carbon in our atmosphere.,We probably should have taken Sparky more seriously.,"Just think "" Three easy payments""",Did you call Aladin carpet cleaners?,Look out! Space aliens hoovering over us!,I was going to rake them when we got back,We should've brought the doggie bag for poo.
There wasn’t enough head room for a standing desk.,The 11th commandment is having a strong core,"You missed spin class, but the juice bar is still open.","If you answer all five riddles, you can use the purple one in the cave.",The secret of inner peace is to have a ball wherever you are.,"After all these years of black and white, Shanahan has gone green.",Now I can strengthen my core and meditate,"My abs are ripped, my back feels great, and it's a color not found in nature anymore.",You should come on leg day!,Certainly I'm exercising.
Turns out even he couldn’t escape taxes.,What a shame. He never got to meet the Kiss of Death.,Hmmm...now what do you think they will threaten us with to get us to comply?,Time is finally up for Father Time.,"It's selfish, but I feel better knowing he won't be dropping by unexpectedly anymore.",I wouldn't call that a holiday.,And I still say he's a selfish bastard.,Does this mean we’re good.,"You wouldn’t hear from him for years, and then all of a sudden he’s be at your door.","Well, that clinches it: Death was not Jewish."
"Not this one, it's full of pickles.",Do you think it's still 6 grams of fat or less?,"Honey, I thought they sold footlongs; not milelongs?!",Subway is going crazy with their marketing!,I thought I told you that I only like their flatbreads.,Can I sit by the window this time Fred?,I must be a lot hungrier than I thought.,That’s taking product placement a bit too far,I hate cross-marketing.,Subway? I had no idea!
I could't help but beat the egg,I will order a huge cake and you can hide inside it.,Consider whether claiming executive privilege was the best response to a cheeseburger question.,You look baked honey.,"I don't think the ""file-in-the-cake"" thing will work this time.",The good news is that I found an attorney who collects Takobiki knives.,"Oh, Ed, you held up a food bank? How distasteful!","It's bad news, dear; they have you on tape saying that roasted quail with mushrooms pairs perfectly with diet soda.","AFTER POISONING MY HUSBAND, YOU'RE ALLOWED TO COOK HERE?",Manchego and Gruyere - they'll be out soon. Gouda is going to be here for a long time.
"You said we had insurance for this, right?","I'll be fine, my DNA Ancestry test said I was 15% fruit bat.","Pigs? No, when rats fly.","Hey, for you it’s an insult, for me it’s the truth!",It'a time they saw a real rat with wings.,Just tell me once more why cats are too dumb to try this.,Are you sure these aren't wax wings?,"I know the telephone wires are already crowed, but you should see the sewer.","Riding the updraft is easy, but I ride the elevator down.",He’s Adopted
Better tell Clown Cop who put the banana peel in front of the police station.,"When we need more your basic name, rank and serial number we bring out the clown!!!",You think this is funny? Just wait till my partner takes a crack at ya.,Don't cross my partner. He's having an extremely bad hair day.,"So you think you’re funny, we can be funny too!",Now will you answer my questions?,I’m going to ask you one more time- who’s the bad cop.,You like turning my precent into some type of a circus?? You think this is a joke??? Quit clowning around tough guy because my partner here has some tricks up his sleeve that  are NO laughing matter!,"You better answer me; I'm the good cop. Look at my partner over there. Ever seen ""IT?""","Well, MOST of us aren't clowning around!"
You don't have to ask me twice,The boss is too embarrassed to tell you but he's given you a reference,Did you believe him when he said “I won’t fire you”?,"Hey idiot, here is the report.",I assure you we recognize the severity of this complaint. Show me on the man where he touched you.,This font is too big!,Too wooden,"Ah, which one of you dummies wrote this?","You have the right to remain silent,and any dummy may be used against you.","I know this is difficult news, but i felt it was important to deliver it in person."
Yikes!  So do all walls like include Trump’s wax image or what?,"OK, now kiss me so I would turn into a frog.",Can you hang for a minute with a stoner who has no body?,"Sorry, wasn't sure if you were checking DMs or not.",I'm just sticking to my marriage vows to be there for you!,It's part of my job as a grad assistant in Music Theory.,"Again, I find myself between a rock and a....",. . . C l i m b   e v'r y   m-o-u-n-t-a-i-n . . .,Don't go behind the wall.,It's sad to be ahead.
"The costume is cute, but I think it's scaring the guys",I just have to ask...was it easier to get used to the heights when you're already dead?,Any idea what's in the mystery meat?,"Hey buddy, you'll need to lose the blade. It contravenes our
'Occupational Safety and Health' charter","Careful with that blade, son...it could be dangerous.","Go ahead and finish your lunch, we don't have far to go.","So, is this you're first day on the job?",No.  I had liverwurst.  Eckner had leftover turkey. That's him at the end pulling the wishbone.,The tag says Brooks Bros. I'd lay odds its NOT a Halloween costume.,How much experience have you had?
