contest_number,image,prompt,caption1,caption2,caption3,caption4,caption5,caption6,caption7,caption8,caption9,caption10
573,573.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: a hospital room 
description: A man is lying in a hospital bed with large headphones or a strange device on his head. A woman is sitting next to him, looking concerned. 
uncanny description: The device on the man's head is unusually large and not typical medical equipment. 
entities: Patient, Concerned_woman, Unusual_medical_device 
Generate a funny caption for the image: [/INST]","you realize your 'cutting edge' music therapy program was actually just a prototype for a rocket launch simulation.""","your favorite song comes on during the MRI.""","your favorite song becomes your new reality.""","your doctor gives you 'the listening ears experience.'""","your music preferences are deemed 'too intense' by the hospital staff.""","your Spotify playlist becomes a real-life soundtrack.""","your hearing aid goes rogue and starts playing heavy metal at full blast.""","the music therapy becomes more therapy than music.""","your hearing aids double as a rocket launch countdown.""","your 'headache treatment' involves giant bunny ears and a whole lot of questions from the nurse."""
574,574.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: a balcony 
description: A man and a woman are standing on a balcony. The man is holding a spatula and looking at a photocopier as if he is grilling something. The woman is holding a drink and looking at the man. 
uncanny description: The man is using a photocopier as if it were a grill. 
entities: Man, Woman, Photocopier 
Generate a funny caption for the image: [/INST]","ling Office Shenanigans: When a quick lunch break turns into a fiery culinary experiment!""","ing out a modern BBQ, complete with paperwork.""","your apartment building's 'barbecue deck' turns out to just be a photocopier...""","your culinary skills leave you stumped, sometimes you just have to 'photocopy' your way out!""","your barbecue skills don't meet your ambitions.""","your BBQ is out of order, the office printer becomes your new best friend.""","your date takes cooking to a whole new level...literally!""","your culinary skills need a boost - or perhaps just a different appliance!""","your date's 'grilled chicken' turns out to be just some reheated leftovers.""","your significant other asks why you're always so 'absent-minded,' but it's really just your culinary genius at work!"""
586,586.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: a park or outdoor area 
description: A couple is walking their dog on a sidewalk. Above them, a giant vacuum cleaner is flying in the sky, with its hose extended downward. 
uncanny description: Vacuum cleaners don't fly in the sky. 
entities: Couple, Dog, Vacuum_cleaner 
Generate a funny caption for the image: [/INST]","your vacuum cleaner refuses to suck up your allergies.""","your dog's shedding becomes so bad it requires an airborne intervention.""","your dog insists it needs 'the ultimate pick-up.'""","your pet's fur sheds like a storm and your allergies kick into overdrive.""","you realize your neighbor's new pet is a lot more high maintenance than it looks.""","your neighbor's 'new carpet cleaning system' takes a literal turn.""","your neighbor promises 'the works' during yard sale preparations...""","you forget your pet's name at the vet, they send out the 'Pet Recovery Team.'""","your pet hair gets out of hand... literally.""","you realize your 'new and improved' vacuum doesn't just pick up pet hair..."""
598,598.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: a mountain cave 
description: A man is standing in front of a guru who is sitting on an exercise ball outside a cave in a mountainous area. The guru appears to be giving advice or wisdom to the man. 
uncanny description: It is unusual for a guru to be sitting on an exercise ball in a remote mountainous area. 
entities: Guru, Exercise_ball 
Generate a funny caption for the image: [/INST]","only way this guru's teachings have gotten through is by bouncing off the exercise ball.""","your spiritual journey requires core strength.""","ghtenment requires balance, even when your meditation spot looks like it's straight out of 'The Rocky Horror Picture Show.'""","ing inner peace—one balance exercise at a time.""","your life coach insists 'balance' goes beyond spirituality.""","your spiritual journey includes a warm-up routine.""","ing enlightenment one squat at a time.""","ghtenment comes when your meditation ball hits the mountain peak.""","your spiritual practice gets its abs ready before enlightenment.""","ing enlightenment through plank exercises amidst the peaks."""
607,607.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: an art gallery 
description: A man is standing in an art gallery looking at a painting. The painting depicts people who appear to be looking back at him. 
uncanny description: The people in the painting seem to be aware of the man looking at them. 
entities: Art_gallery, Painting 
Generate a funny caption for the image: [/INST]","you realize the artists' ultimate masterpiece was actually the security system.""","you're the only one admiring the artwork.""","you realize the 'silent' part of 'silent art gallery' isn't just an aesthetic choice.""","you're so engrossed in admiring the art, even the subjects start to take notice.""","you're so engrossed in your own thoughts, even the art seems to be staring back at you.""","your ex walks into the gallery while you're trying to enjoy a quiet afternoon.""","you realize the art piece has been watching you all along.""","you realize that staring at art for too long makes it stare back.""","you realize the painting was commissioned by your ex-spouse.""","only piece in the museum that seems to have its own smartphone."""
609,609.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: a subway station 
description: Two people are walking through a subway station. Instead of a train, there is a giant sandwich on the tracks. 
uncanny description: A giant sandwich is waiting at the subway station instead of a train. 
entities: Subway, Train, Food 
Generate a funny caption for the image: [/INST]","your subway expectations are met with a bun-dering twist!""","your commute gets hungrier than usual.""","your late for work, but your lunch break just got a lot longer...""","ay's new slogan: 'Get ready to board - the deli edition!'""","your commute takes a bready turn.""","just another day when your commute comes served on a bun!""","you realize your commute just got a whole lot 'breadier'!""","the 'Subway' is so literal it makes your sandwich dreams come true.""","the only thing left to eat after midnight is your pride.""","you're stuck in a subway delay, it's time for a 'sandwich standoff.'"""
610,610.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: a visiting room 
description: A woman is sitting in a visiting room, talking on a phone. On the other side of the glass, a chef is also talking on a phone. 
uncanny description: It is unusual for a chef to be in a visiting room behind glass. 
entities: Woman, Chef 
Generate a funny caption for the image: [/INST]","your favorite restaurant closes down, and all you have left is the cook's emotional support hotline.""","your culinary masterpiece won't cook itself!""","the restaurant's phone system goes down and the only way to order dinner is through the glass.""","a culinary call-in special! 'What do you mean they don't serve escargot?'""","your culinary masterpiece takes center stage at the family gathering.""","you realize your takeout order was mistakenly delivered to the prison cafeteria.""","your restaurant's reputation precedes you.""","your culinary genius needs a quiet place to take calls.""","your favorite restaurant's owner calls during your prison visit.""","your culinary masterpiece goes from hot to cold before it even hits the table."""
611,611.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: a city rooftop 
description: A pigeon and a small dragon are standing on the edge of a building rooftop in a city. The dragon is spreading its wings as if preparing to fly. 
uncanny description: Dragons do not exist and cannot be seen on rooftops with pigeons. 
entities: Pigeon, Dragon 
Generate a funny caption for the image: [/INST]","your roommate's late rent means it's time for a little 'fantasy' role reversal!""","the pigeon's date doesn't show up and it decides to 'fly solo'.""","you realize your roommate hasn't paid rent in months.""","your neighbor's pet bird gets a little too big for its feathers.""","you realize it's just another 'flocking' episode of Game of Thrones.""","you realize your 'bird friend' just wants to use you as a launchpad.""","you've got your own personal gust of wind!""","you realize your roommate has been 'working from home' since medieval times.""","you realize your 'special' rooftop spot isn't so special anymore.""","you're trying to show off your 'dragon wings' at the local bird meetup."""
613,613.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: an interrogation room 
description: A suspect is being interrogated by two detectives in an interrogation room. One detective is leaning over the table, while the other is holding a balloon animal. 
uncanny description: It is unusual for a detective to hold a balloon animal during an interrogation. 
entities: Suspect, Detectives, Balloon_animal 
Generate a funny caption for the image: [/INST]","you're trying to make a serious point, but your partner insists on bringing the party to the crime scene.""","question at a time... unless it's about my clown career.""",", well, well,"" said the clown-nosed detective, holding his balloon elephant aloft. ""Looks like we have ourselves a real circus case here!""","you're trying to loosen up a tight-lipped suspect with a soft serve of whimsy.""","you're trying to make a serious statement, but the clown cop insists on twisting your arm into a unicorn.""","you're trying to soften a tough case with a gentle squeeze.""","the pressure of finding the real culprit gets to your head, it's time for a little balloon magic.""","your only witness won't stop blowing bubbles.""","you're trying to keep your cool under pressure, but the clown cop insists on doing balloon tricks.""","you're trying to make a tough guy squirm, but all you have is a party hat and a clown nose."""
616,616.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: an office 
description: A man is sitting at his desk in an office, looking at another man who is holding a small, identical version of himself. The small version is holding a piece of paper and appears to be talking. 
uncanny description: The man is holding a miniature version of himself, which is not possible in reality. 
entities: Office_worker, Miniature_self 
Generate a funny caption for the image: [/INST]","your boss asks for a progress report and you're just starting to figure out how to use the copier.""","you realize your boss just gave you an upgrade.""","your boss asks you to work on a project... 'but make it tiny' edition.""","your clone shows up at work without a proper cubicle assignment.""","your boss thinks he's being humorous by making a tiny you look at him.""","wkward promotion meeting where the boss wants to make sure everyone's on board.""","your boss asks you to work on something 'small'.""","like he's having a conversation with his own personal assistant...or maybe just a smaller version of himself.""","your boss wants a second opinion on your latest project.""","your boss wants you to work on something 'urgently'."""
