0,1,2,3,4,5,6,7,8,9,contest_num
"As you can see from this quarter's numbers, our probe-ductivity is way up.""","Jenkins, take notes. The rest of you, take a memo.","I appreciate you taking me under your wing... er, fin? Claw?","Great, who wants to give our guest the tour of the probe-duction facility?","I know you're new here, but at our meetings we have a strict 'clothing optional' policy.","As you can see, we've achieved incredible synergy between our human resources and food services divisions.","Johnson, stop licking your chops. You're being rude to our guest.","Everybody, this is Steve, from our merger and digestion department.","I have to say, you're handling this 'hostile takeover' better than most.","""Before we start, a reminder All meals must be expensed to the 'Earthling per diem' budget.""",684.0
"I'm afraid this is my floor. Zero gravity awaits!""","Houston, we have a problem. I think I pressed the wrong button.",I knew I should have taken the stairs. This spacesuit really slows me down.,"Another Thursday, another trip to the moon. Am I right?",Going up? I need to grab something from the International Space Station real quick.,I bet you're wondering why I called this meeting of the Intergalactic Elevator Committee.,First floor Housewares. Second floor Electronics. 500th floor Low Earth Orbit.,"At least in here, no one comments on my fishbowl helmet.","I thought they said the dress code was 'black tie', not 'black sky'!","""I'd ask you to press the button for my floor, but I think it's slightly out of this world.",690.0
"I asked for a snow blower, not a show blower!"" - Playing on the similar sounds of ""snow"" and ""show"", suggesting the guitar serenade is not the helpful winter tool the man was hoping for","Guess the cold never bothered you anyway."" - A playful reference to the Frozen song ""Let It Go"", implying the woman's undeterred musical enthusiasm despite the chilly weather","I'm dreaming of a white noise Christmas..."" - Twisting the classic holiday lyric to humorously suggest the guitar playing is more grating than melodic","Jingle bells, Batman smells, Robin laid an egg..."" - Using the silly alternate lyrics to the Christmas carol to underscore the absurdity of an outdoor winter guitar performance","I said I wanted to rock salt the driveway, not rock out in the driveway!"" - Another play on similar sounding phrases, with ""rock salt"" for icy pavement vs ""rock out"" on the guitar","Nothing beats a snow shovel quite like an air guitar."" - Sarcastically contrasting the usefulness of an imaginary ""air guitar"" versus a real snow shovel for the shoveling job at hand","Honey, I'm pretty sure that's not what they mean by a White Stripes album."" - A punny reference to the rock band, with ""white stripes"" also describing the shoveled snow lines.","On the first day of Christmas, my true love gave to me frostbite in a pear tree!"" - Reworking the ""12 Days of Christmas"" lyrics to highlight the folly of prolonged outdoor exposure in winter","Suddenly the idea of getting snowed in doesn't seem so bad."" - Hinting the man would prefer being trapped inside by snow rather than subjected to the icy guitar concert","""And here I thought our relationship had already hit a winter slump..."" -  Using the winter imagery to imply their marriage has become as cold and dreary as the bitter snowy scene",694.0
Welcome to the new group therapy format. Let's begin on the bottom bunk and work our way up.,"I know you feel like your problems are towering over you, but this seems a bit literal.","I said I wanted to elevate our sessions, but this isn't what I had in mind.","No, when I suggested we get to a higher level, I meant emotionally, not physically."" ",The first step is admitting you have a problem. The next step is claiming a bunk.,I'm not sure this is what they meant by getting to the bottom of your issues.,"Let me guess - abandonment issues stemming from never getting the top bunk as a kid?""","Sorry, the penthouse suite of self-actualization has already been booked.","Unfortunately, we've had to bunk your Freudian slips with the Jungian archetypes.""","""I know I said I'd be there for you on all levels, but this is a bit much.",699.0
"And that's why they call me the early bird.""",I'm working on my latest tweet.,I'm thinking of branching out into country music.,"I didn't choose the nest life, the nest life chose me.",Just waiting for my big break.,I'm the Bob Dylan of the bird world.,Guess I'll just wing it.,I'm putting the 'blues' in bluebird.,Hatched to be wild!,"""Free bird seed for anyone who requests 'Free Bird'!",710.0
"You told me to check under the hood, but I'm not sure where to start...",I think I found your engine problem. It's being crowded out by all these clowns.,Looks like you have a major clown infestation. I recommend fumigation.,"I've heard of carpooling, but this is ridiculous!"" ","Let me guess, you need me to check the suspension?","Oh good, the circus must be in town. But where's the rest of your troupe?",I'm not sure I have a diagnostic code for 'overclowned'...,"Who needs a backseat driver when you have a trunk full of clowns?""","Sir, I think I see the problem - your radiator is full of rainbow wigs.","""Forget an oil change, what this car really needs is a clown change!",713.0
I'm a huge fan of your work on Tokyo.,"I loved your performance in 'Jurassic Prank'!""",Any tips on flattening the competition?,"Sign here, here, and here for insurance purposes.",Your memoir really humanized you for me.,Where do you get your suits tailored?,Can you teach me your 'scale' technique?,I'm working on a 'creature feature' myself.,Loved your TED Talk on urban planning!,"""Your story really 'towered' above the rest.",724.0
"I know I said we need to dig deeper, but this is not what I meant.""","Clearly, you have a lot of buried issues to work through.","When I suggested grounding techniques, this isn't quite what I had in mind.","Well, at least you're not just sitting on the couch anymore.""","No no, I said your problems are deep-rooted, not that you need to dig them up!","Next week, let's work on filling in those emotional voids.",I think we've hit rock bottom with this approach.,"Hm, an unconventional method, but you're really excavating some childhood issues.",Let's not get too carried away with this 'digging into your past' exercise.,"""Impressive work, but I'm afraid this goes beyond my scope of practice.",731.0
"I told you not to use that discount vet.""",Looks like someone misread the IKEA instructions again.,When you order your cone of shame from Wish.com...,I guess we should've splurged on the name brand cone.,"Well, at least now he can lick his wounds in peace.",I think we assembled the satellite dish wrong.,The vet said it was a avant-garde cone design.,When you try to outsmart the cone of shame...,I knew I should've paid more attention in geometry class.,"""Introducing the all-new Reverse Cone™ - for the rebellious dog in your life!",744.0
I guess they decided to take a different perspective on landscaping.,"Honey, I think our neighbor's grass is greener on the other side... literally.","Well, at least they're consistent with their yoga practice.",Looks like they're really embracing the whole 'down under' lifestyle.,"I heard they wanted to stand out in the neighborhood, but this is ridiculous.",Guess they misunderstood when the HOA said 'no high fences.',Looks like somebody took 'flipping the house' a bit too literally.,I wonder if they're trying to attract bats as pollinators.,I heard they were going for a 'topsy-turvy' theme this year.,"""Guess they really wanted to keep their roots in the air.",747.0
I sure hope these personal space bubbles don't pop!,Mom always said I lived in my own little world. I didn't think she meant it literally.,"No, officer, I swear I'm practicing responsible social distancing!""",This new 6-foot hula hoop trend is really catching on.,"Next time, I'm springing for the deluxe bubble with a recliner and mini-fridge.","Forget personal space - I'm all about the personal sphere!"" ",Walking in a bubble wonderland...,"I thought they said to stay in my bubble, not bring it with me!","Coming soon Bubble Buddy, for all your social anxiety needs!","""And they said I'd never amount to anything. Well, look at me now - a big shot in my own little bubble!",751.0
I told you bringing hardcovers on our hike was a bad idea!,"Well, this is one way to get lost in a book.""",I guess we took a wrong turn at the library.,"Honey, I don't think this is what they meant by a 'walking tour' of classic literature.","Next time, let's stick to the e-readers.","So this is what they mean by 'immersive reading experience.'"" ",Looks like we've entered the world's most aggressive book club.,I knew I shouldn't have wished for my books to come alive!,"Darling, I said take me somewhere we could 'book it' for the weekend, not 'book-ish.'","""The librarian said the overdue fees were getting out of hand, but this is ridiculous!",752.0
"Bob's 'work from anywhere' policy took on a whole new meaning.""","When the HOA said no home offices, Carl found a loophole.","Suddenly, Greg regretted choosing the 'premium' shared workspace option.","At long last, Jim could keep an eye on his packages and his spreadsheets.",Today on Extreme Makeover Home Office Edition...,Bill's new 'open door' management approach was a bit too literal.,"Well, this isn't what I pictured when HR said we were getting desks with a view.",No more awkward small talk by the water cooler for this guy!,"When setting up your home office, location is everything!","""Looks like somebody took 'think outside the box' a bit too far!",758.0
"When life gives you lemons... ask Death for a new fruit basket.""","Sorry, these are all I could reap on short notice.",I figured you could use a pick-me-up after the whole 'mortality' thing.,"Trust me, where you're going, you'll have plenty of time to make lemonade.","I know it's a grave situation, but let's look on the bright citrus.",You asked for a 'life-changing experience'... be careful what you wish for!,I find a little tartness really livens things up around here.,No need to act so sour - everyone meets me eventually!,"I usually deal in eternal rest, but hey, when life gives you lemons...","""Cheer up! It's a once-in-a-deathtime opportunity!",761.0
I can't seem to get my mind out of neutral.,I've been feeling a bit flat lately.,My GPS keeps telling me to drive off a cliff.,I think my internal combustion is causing me anxiety.,I'm here because I can't stop chasing ambulances.,"I've been so gassy, it's exhausting.",My mid-life crisis really kicked into high gear.,My fuel efficiency is terrible - I'm always running on empty.,"Doc, I think I'm having trouble with my Freudian slips.","""I used to be an SUV, but now I identify as a compact.",536.0
I told you we should've gotten the smaller tire swing.,"It's a bit avant-garde, but it really ties the room together.","Honey, I think we took the phrase 'vicious cycle' a bit too literally.","I wanted a conversation piece, but this is just wheelie awkward.","Well, at least now we have plenty of space for hamster racing.",I guess this is what happens when you let the kids choose the art.,"The architect said he'd add a 'wow factor,' but I didn't expect this.","Round and round the decorating ideas go, where they stop, nobody knows!","I've heard of feng shui, but this is more like feng whoa!","""I wanted to break the cycle of boring living room decor, but this is ridiculous.",537.0
"I know you're all worried about layoffs, but I assure you, my growth plan is quite robust.","Let's get to the root of the problem, shall we?",I'm afraid I'll have to put this project on the back burner until we can dig up more funding.,"Sorry I'm late, I was stuck in the weeds with another matter.","I know morale has wilted lately, but with your support, we can turn over a new leaf.","Our stock may have dropped, but don't worry, it's a perennial.",You're all doing a tree-mendous job!,"Bill, I need you to branch out and explore new markets.","I know it's a thorny issue, but we need to nip this in the bud.","""Despite the tough climate, our company remains evergreen.",545.0
"I know you requested an open door policy, but this is ridiculous.","I see you're still practicing social distancing.""","When I said I needed some space at work, this isn't what I had in mind.",I guess my request to move up in the company is going to take a while.,"I'm happy to give you my chair, but I think we have plenty of spares.",Looks like I'll need to schedule a meeting just to reach your desk.,I didn't realize our office supplies budget was focused solely on chairs.,Is this your way of encouraging me to think on my feet?,"I appreciate the extra legroom, but this seems a bit excessive.""","""So this is why they call it the corporate ladder.",550.0
"I've heard New York is a friendly city, but I didn't expect such a warm wave!",The newest attraction - the Waverly Hills of Manhattan.,NYC's toughest immigration policy yet - you shall not pass!,Someone forgot to tell Poseidon about the offshore wind farm plans.,When you order 'artisanal waves' for your custom mega-yacht.,The Hudson River's audition for the role of The Blob.,Subway flooding has reached a whole new level.,Jersey Shore sends its regards.,The Statue of Liberty's worst blind date ever.,"""The East River finally got its big break on Broadway.",551.0
"I know He said not to eat from the Tree of Knowledge, but apparently the Tree of American Pie Baking was fair game.","Homemade or store-bought, this still counts as Original Sin.",I never realized Eden had a bakery section.,So that's why God kicked them out - Eve's pie crust was soggy.,The serpent said Betty Crocker is very wise.,Apple pie - the forbidden fruit for the carb-conscious.,Original cinnamon.,The first couple's first bake-off ended in disaster.,Paradise lost? Check the Lost and Found next to the pie booth.,"""One bite, and they knew they were naked... and in need of bigger tunics.",557.0
The terrible twos were nothing compared to the terrible eighties!,"Looks like Grandpa needs a timeout again.""","Ever since the nursing home installed cribs, naptime has been much easier to enforce.","At his age, a regular bed just isn't safe anymore.","Well, they do say you revert back to childhood in old age...",Guess it's time to childproof the house again.,Second cribs are all the rage in retirement communities these days.,"The older you get, the harder it is to avoid bedtime.",I knew I should have read the fine print on that 'Diapers to Diapers' life insurance plan...,"""Apparently, 'aging in place' has its limits.",558.0
"I said I wanted us to be closer, but this is a bit much.",Our tandem audition for the canine version of CatDog didn't go as planned.,I guess this is one way to enforce social distancing.,"Synchronized shedding, our newest Olympic event!","Next time, let's just get matching sweaters.",I don't think this is what they meant by 'bonding exercise'...,"Well, this is a new twist on being in the doghouse.",Guess our humans really took 'joined at the hip' seriously!,"I've heard of three-legged races, but this is ridiculous!"" ","""Just call us the Cone-joined Twins!",561.0
Our new management is really giving a hoot about efficiency.,I heard they're a real stickler for deadlines. Must be all the night owl tendencies.,Guess the early bird doesn't always get the worm in this office.,I hope they don't expect us to work owltime hours.,Looks like the office is going to the birds.,I bet they'll be keeping a sharp eye on our work.,Wonder if they'll be more lenient on owl-day Fridays?,"Guess we'll be seeing a lot of ruffled feathers around here.""",I hear they really give a flying hoot about team-building exercises.,"""Looks like we'll need to brush up on our 'owl-gebra' for those budget reports.",564.0
"I told you I'd be bringing my work to bed with me.""","I think I found my true calling as a sleep consultant.""","You've heard of a sleeping bag, but have you tried the sleeping blazer?""","I'm heading to that important meeting, but first, a power nap.""","Casual Friday has really gotten out of hand.""","I always dress for the job I want, not the job I have.""",I misunderstood what it meant to be a 'comfort executive.',"Welcome to the world's first walking, talking sleep study!""","I took 'dress for success' a bit too literally.""","""My chiropractor recommended aligning my spine 24/7.""",567.0
"I said bring me a cold one, but this is ridiculous!""",I'm pretty sure this isn't what they mean by 'on tap'.,Looks like happy hour starts early in this ward!,"I guess laughter isn't the best medicine after all."" ",I don't remember this being part of my health insurance plan...,"Next time, I'm asking for a straw.","At this rate, I'll be discharged by last call!","Forget the hospital food, I'm here for the drink specials!",I heard this place had a good I.P.A.,"""This gives new meaning to 'hooked up to the good stuff'!""",573.0
"Honey, I think I finally nailed that burnt leather fragrance.","I said I wanted my steak well done, not my documents!","Sorry boss, I misunderstood when you said to put the quarterly reports on the grill.","I'm pretty sure this isn't what they meant by a working lunch, dear.","I know you're trying to impress the new neighbors, but serving your famous 'briefcase burgers' might be a bit much.",I thought you said we were having portfolio sandwiches!,"Sweetie, I appreciate the effort, but leather is not part of a balanced diet.","I'm all for trying new recipes, but I draw the line at anything that requires a combination lock.",I guess this is one way to ensure a secure lunch.,"""Darling, I think you've taken 'bringing home the bacon' a bit too literally.",574.0
