contest_number,info,prompt,caption1,caption2,caption3,caption4,caption5,caption6,caption7,caption8,caption9,caption10
598,validation,"scene: a mountain cave 
description: A man is standing in front of a guru who is sitting on an exercise ball outside a cave in a mountainous area. The guru appears to be giving advice or wisdom to the man. 
uncanny description: It is unusual for a guru to be sitting on an exercise ball in a remote mountainous area. 
entities: Guru, Exercise_ball 
funny caption:",Just met my new fitness coach and he's teaching me how to climb mountains.,I asked my guru why she was sitting on an exercise ball in a cave and she said 'Because I want to get fit while you're stuck here.',When you're too broke to buy a chair but still want to look like a boss.,The ultimate in mind-body connection: enlightenment through core strength,When you asked your guru if they were a fitness enthusiast and they said yes,I asked my guru what he was doing here and he said 'I'm just stretching my mind',What did the exercise ball say to the guru? 'I'm feeling kinda flat.',It's not every day you encounter a wise sage on a rolling sphere,"I asked my guru how he was doing and he said 'I'm great, but I'm feeling a little flat.' So I gave him some air.",Sitting on a rock and rolling with the flow
607,validation,"scene: an art gallery 
description: A man is standing in an art gallery looking at a painting. The painting depicts people who appear to be looking back at him. 
uncanny description: The people in the painting seem to be aware of the man looking at them. 
entities: Art_gallery, Painting 
funny caption:",I'm not sure if I should be flattered or creeped out by this painting.,Is this a mirror? Because I'm pretty sure it's just me.,I wonder if they can see me?,Looks like these guys are giving me the stink eye from beyond the canvas.,I guess you could say this painting was a little too on point.,Looks like they know I'm not going anywhere,I knew they were judging me when I walked into this room,"I guess it's true what they say, 'Everyone has their own perspective'. I didn't realize mine was so literally perspectival until I saw this painting.",Looks like I'm in a painting now!,I guess they really did see me.
609,validation,"scene: a subway station 
description: Two people are walking through a subway station. Instead of a train, there is a giant sandwich on the tracks. 
uncanny description: A giant sandwich is waiting at the subway station instead of a train. 
entities: Subway, Train, Food 
funny caption:",When you finally find a subway that isn't overcrowded.,When you get to the subway and realize it's just a giant sandwich,Today we're eating our way to work.,Today's commute was better than expected.,It's not every day you see a subway station with a giant sandwich.,We need to ask for directions.,When you're late for lunch but can't wait to get home,"When you said 'I'll meet you at the subway', I didn't expect it to be this big",Why did the tomato turn red? Because it saw the ham.,I guess this was our lucky day! We got to take the 'Subway Sandwich' instead.
610,validation,"scene: a visiting room 
description: A woman is sitting in a visiting room, talking on a phone. On the other side of the glass, a chef is also talking on a phone. 
uncanny description: It is unusual for a chef to be in a visiting room behind glass. 
entities: Woman, Chef 
funny caption:",Chefs don't always get to do their job from behind bars.,Chef in visiting room? More like 'visiting' chef!,I guess it's a good thing chefs can cook from behind bars.,Calling all chefs: when can we start doing this?,It's not every day you get to talk to your favorite chef while wearing pajamas and slippers.,I guess they're having a culinary conference.,Chefs don't do visits,Breakfast at visiting room,Why did the chef visit his grandmother? Because he wanted to catch up with her over a good meal.,Visiting your relatives and they're already cooking up a storm
611,validation,"scene: a city rooftop 
description: A pigeon and a small dragon are standing on the edge of a building rooftop in a city. The dragon is spreading its wings as if preparing to fly. 
uncanny description: Dragons do not exist and cannot be seen on rooftops with pigeons. 
entities: Pigeon, Dragon 
funny caption:",What do you get when you cross a city rat with a mythical beast? An urban legend!,Looks like someone's got some feather envy,Squirrels can't believe their eyes,Looks like someone's getting ready for flight school.,When you thought your day couldn't get any weirder but then a dragon shows up.,Looks like I finally found my unicorn,Dragon at work,Dragon or bird? Looks like I'm about to get my winged dinner.,Looks like someone's been binge-watching Game of Thrones,Dragon and Pigeon have a bird's eye view
613,validation,"scene: an interrogation room 
description: A suspect is being interrogated by two detectives in an interrogation room. One detective is leaning over the table, while the other is holding a balloon animal. 
uncanny description: It is unusual for a detective to hold a balloon animal during an interrogation. 
entities: Suspect, Detectives, Balloon_animal 
funny caption:",When you realize your partner brought a balloon animal instead of evidence,When you're trying to get information out of someone but all they give you is popcorn.,When you're trying to crack the case but all you got is a bunch of helium and rubber.,When you're a detective and your partner has too much time on his hands.,"When you said 'balloon animals', I didn't expect it to be this big.",When you're a detective and your partner is great with kids.,Why did the detective bring a balloon animal? Because he wanted to make it talk!,I guess you could say this is a high-pressure situation.,"We may not have any leads, but at least we have a lead balloon.",What's next? A detective holding a unicorn?
616,validation,"scene: an office 
description: A man is sitting at his desk in an office, looking at another man who is holding a small, identical version of himself. The small version is holding a piece of paper and appears to be talking. 
uncanny description: The man is holding a miniature version of himself, which is not possible in reality. 
entities: Office_worker, Miniature_self 
funny caption:",I just realized I'm working with my doppelganger. He's so much smarter than me.,I finally found my doppelganger... but it's just a tiny version of myself holding a piece of paper.,When you have too much time on your hands,I just realized I've been working with a doppelganger the whole time.,I guess this is what they call 'me'-mini.,I finally found my doppelganger - he's just a little bit smaller.,Looks like I've finally managed to clone myself!,I'm so glad I got my own personal assistant.,I found my doppelganger... but he's just a small version of myself.,When you finally meet your doppelganger but it's just a tiny version of yourself that can talk.
629,validation,"scene: an indoor climbing gym 
description: A woman is rock climbing on an indoor climbing wall. One of the climbing holds is shaped like a human face. 
uncanny description: Climbing holds are not typically shaped like human faces. 
entities: Climber, Climbing_wall 
funny caption:","She's got grip, but she's also pretty face-tastic.",When you thought your workouts were mundane but then your climbing hold turns out to be a life-sized uncanny valley.,When you find your dream job and it's also literally your dream hold.,I don't know if I'm holding onto life or a face.,Looks like I found my new BFF,"I'm not afraid of heights, but I am afraid of this hold. It looks too much like me.",I finally found my soulmate. It's a climbing hold that looks just like me.,I guess it's a face-lift for the climbing wall,Looks like my hold just got a little creepy.,When your best friend is also your climbing partner
636,validation,"scene: a construction site high above the city 
description: A group of construction workers are sitting on a steel beam high above the city, eating lunch. Among them is the Grim Reaper, holding a scythe. 
uncanny description: The Grim Reaper is casually sitting and eating lunch with the construction workers. 
entities: Construction_workers, Grim_Reaper 
funny caption:","When you said 'death by construction', I didn't expect it to be so literal.",Looks like death took a break from his job to have some lunch with the boys.,Death by Lunch Break,Looks like Death took a break from his usual duties to enjoy some fresh air and good company.,We were just having some lunch when the Grim Reaper showed up.,Looks like death has stopped by for lunch at the construction site.,"The Grim Reaper may be death personified, but he's just like any other worker at this construction site - taking breaks to eat lunch.","The Grim Reaper may be an ominous figure, but he's just like any other construction worker. Eating lunch and enjoying the view.",Sometimes you just gotta cut to the chase,Looks like someone's cutting corners.
637,validation,"scene: a yard 
description: A man is raking leaves in a yard while another man stands behind a rope barrier, watching him. 
uncanny description: It is unusual for someone to be raking leaves while another person stands behind a rope barrier observing them. 
entities: Rake, Observer 
funny caption:",When you have an audience for your leaf-raking skills,When your neighbor asks you over but doesn't want any of their yard work.,I'm just here to make sure the grass doesn't get raked up.,Is that a yellow card or just a leaf?,I guess you could say this guy is leaf-peeping,I guess it's safe to say I'm quite the leaf-raker.,I guess you could say I'm leaf-peeping!,Looks like the only thing this guy knows how to do is watch.,Looks like I'm the only one getting some exercise today.,When you're too lazy to mow the lawn but still want to look like you're working.
646,validation,"scene: a snowy mountain 
description: Two hikers are on a snowy mountain slope, having a conversation. In the background, a yeti is walking up the slope. 
uncanny description: It is unusual to encounter a yeti while hiking. 
entities: Hikers, Yeti 
funny caption:",Looks like we have some company on our snowy adventure!,Looks like we have some competition for who can walk in the deepest snow.,Looks like we have some company on our hike today,Looks like we're not the only ones feeling the chill today.,Looks like we have some company on our hike.,Looks like we have some company on our hike!,Looks like we have a new friend joining us on our hike!,We were just making small talk about the weather when we saw a bigfoot.,Hike and Seek,Looks like we have some competition for who can make it to the top first!
661,validation,"scene: a fairytale landscape 
description: Snow White is standing and smiling while the seven dwarfs are roller skating around her in a joyful manner. There is a castle in the background. 
uncanny description: The seven dwarfs are roller skating, which is anachronistic for their time period. 
entities: Snow White, Seven Dwarfs, Roller Skates 
funny caption:","When you said 'roll with it', I didn't expect this.",When your friends suggest you go ice skating but all you have are roller skates.,Rolling with the dwarfs,Snow White found out she could rollerblade too!,"When you said the prince was charming, I didn't expect him to be on roller skates!","When you said you were bringing me to a ball, I didn't expect it to be on ice!","When you said 'happily ever after,' I didn't think it meant 'on roller skates.'","When you say 'roll', I expect a horse, not a wheel!",Roller dwarf-ing,"When you say 'happily ever after,' I take it to mean roller skating."
663,validation,"scene: a kitchen 
description: Two people are looking at a pizza box on a table. Inside the pizza box, there is a miniature scene of two people having a romantic dinner. 
uncanny description: It's unusual to find a miniature dinner scene inside a pizza box instead of a pizza. 
entities: Pizza_box, Miniature_people 
funny caption:",Look what we found in our pizza! A tiny version of us enjoying a romantic dinner.,Look what you get when you order a 'romantic dinner' from Domino's,When you order pizza and it comes with an extra surprise,I guess this was their 'pizza night',When you order a large pizza but only want a small portion,When you order pizza but accidentally get a miniature wedding.,When you order pizza and get a full meal for free!,"Our love story in a nutshell (or should I say, a pizza?)",We got the whole nine yards...and then some.,"It's like a tiny version of our favorite Italian restaurant, only this time it's in a pizza box."
681,validation,"scene: a city street 
description: A man and a woman are walking down the street. The man has crab claws instead of hands, and the woman looks annoyed. 
uncanny description: It is unusual for a person to have crab claws instead of hands. 
entities: Man, Crab_claws, Woman 
funny caption:",I guess I'm not that human anymore.,Why did the crab cross the road? To get to the other side... of his house.,"When you said 'we're going crabbing,' I didn't expect this.",I guess he found his true calling as an astrologer.,I guess he's just an octopus in human clothing,When you said we were having seafood tonight I didn't expect this!,Looks like this guy didn't take his shell off.,Why did the crab cross the road? To prove he was more than just shellfish!,I guess he wanted to be shellfish.,Why did the crab go out with the human? Because he heard she had great legs!
685,validation,"scene: a forest 
description: Two hikers in the woods encounter a giant honey bear bottle with a spout on its head. The hikers look surprised and cautious. 
uncanny description: A giant honey bear bottle with a spout on its head is walking in the woods, which is not something you would ever see in real life. 
entities: Hikers, Anthropomorphic_honey_bear 
funny caption:",When your friend tells you they found a new source of inspiration for their next novel but it's just a giant honey bear bottle walking in the woods,Looks like someone had too much honey,I guess they're saying 'bear-ly' too much,What's that? A honey-filled bear?,When you're thirsty and stumble upon a giant honey bear bottle in the middle of nowhere,When you're out hiking and come across a giant honey bear with a spout on its head.,Oh no! It looks like we found ourselves in a sticky situation!,When you find out that nature has been working on the perfect blend of beer and honey,What did one hiker say to the other? 'I heard there's honey at the end of that trail.' But it turned out to be just an anthropomorphic honey bear with a spout on its head.,Why did the anthropomorphic honey bear bottle go for a walk in the woods? Because it wanted to take a sip of nature's sweetness!
695,validation,"scene: a restaurant entrance 
description: A waiter is standing at a podium, looking surprised at a slice of bread with a face, arms, legs, and a bow tie. 
uncanny description: Bread does not have human features or wear bow ties. 
entities: Waiter, Anthropomorphic_bread 
funny caption:",This place has some weird menu items.,I think I just saw my double in a loaf,Waiter: 'What is this?!' Me: 'This is the new menu item.' Waiter: 'I think I'll stick to my old job.',"Looks like we've got a new member of the staff! Welcome, Baguette-Boy!",When you ask for the special and get a talking loaf of bread.,I never thought I'd see the day when my job became serving a baked loaf.,I think the chef needs to take his artistry lessons from Michelangelo.,When you say 'I want to go somewhere nice for dinner'. You didn't mean this place!,I never knew bread could be so... savory.,I never thought I'd see the day when bread would be my muse
696,validation,"scene: a dining room 
description: A cowboy is pouring coffee from a pot into a coffin that is placed on a dining table. Two people in formal attire are sitting at the table, looking at the cowboy. 
uncanny description: It is unusual and unsettling to see a cowboy pouring coffee into a coffin at a dining table. 
entities: Cowboy, Coffin, Diners 
funny caption:",It's just a friendly neighborhood barista.,I guess you could say this is a funeral dinner,The ultimate Western-themed dinner party!,Looks like we're having an old west wake up call!,I guess they wanted to make sure the afterlife was well-caffeinated.,Morning brew with a side of death.,Breakfast of champions!,When you're hosting a fancy dinner but still have some old west traditions to uphold,We're just having a casual cup of Joe.,Morning brew in a dead guy's coffin.
697,validation,"scene: a train station 
description: A man is walking the plank off a train, while a pirate and another person watch from the train door. 
uncanny description: It's unusual to see a pirate making someone walk the plank off a train instead of a ship. 
entities: Pirate, Train, Plank 
funny caption:",Train Station Pirates,I thought pirates only made people walk the plank on ships... I guess you can call this a 'train-cation',I guess we could call him Captain Hookoff,Look out below!,You thought the train ride was scary? Wait until you see this guy walk the plank off the train!,Welcome to the train ride of your life!,Oh no! You forgot we have access to trains now!,Looks like this guy didn't get his ticket at a discount,I guess they didn't have a bridge??,This is what happens when you mess with the wrong pirate
700,validation,"scene: a pharmacy 
description: A centaur is standing at a pharmacy counter, talking to the pharmacist. The centaur is holding a prescription bag. 
uncanny description: Centaurs are mythical creatures and do not exist in real life. 
entities: Centaur, Pharmacist 
funny caption:",I guess you could say I'm quite the horse-man of health,What do you get when you mix a horse with an elf? A pharmacist!,"I told my doctor I was having trouble with my hooves. He said 'Have you tried talking to your pharmacist?' I said 'My pharmacist is a centaur.' He said 'Well then, maybe you should see another doctor.'","When you thought your day couldn't get any better, but then you realized you need to refill your meds.","I told the pharmacist I needed some advice on how to cure my bowel problems, he said 'well, you're a centaur so you might want to try eating more grass'",I came to this pharmacy to pick up my penicillin but the pharmacist said I needed to be circumcised first.,I need some medicine for my sore butt,"I guess I could have just gotten it online, but where's the fun in that?",When you have a horse-shaped butt but still need your meds.,"I don't get it, why can't I just eat my pain medication?"
701,validation,"scene: a restaurant 
description: A waitress is taking an order from a mouse that is sitting at a table and holding a menu. Other patrons are visible in the background. 
uncanny description: Mice do not sit at tables and order food from menus in restaurants. 
entities: Waitress, Mouse, Menu 
funny caption:",When you're trying to be fancy but can only afford ratatouille,When you finally find a place where mice can enjoy fine dining.,"I guess it's true what they say - you can catch more flies with honey than with vinegar, but you can also catch more mice with menus!",When you're the only one brave enough to try sushi at a rodent-only establishment.,The only thing scarier than rodents on the menu was a rat with the same name as me.,When you're too small to reach the counter but still want your own meal,When you go to a fancy rodent restaurant,When you realize your date is a mouse.,When you finally decide to eat out but have no idea what to get.,"You may think it's weird to see a mouse in a restaurant, but trust me, they have their own special menu."
706,validation,"scene: a forest 
description: Two hikers with backpacks and walking sticks are walking through a forest. They come across two subway trains labeled ""2"" and ""A"" in the middle of the woods. 
uncanny description: Subway trains do not belong in the middle of a forest. 
entities: Hikers, Subway_trains 
funny caption:",When you think you're lost in the wilderness but end up finding your way to Times Square.,Lost in Transit,I guess this is how we get to Paris.,It's always a train-wreck when you go on a hike 😂 #hikerlife,Wood line service now available on the E train.,Where did the subways go wrong?,"We found our way to the city, but it was a little off-track.",Forest or subway? Can't tell,When you thought you were just going for a walk in the park but ended up in an underground transport system.,We found ourselves on the wrong track and ended up in the underground instead.
709,validation,"scene: an office building 
description: A woman with a briefcase is waiting for an elevator. The elevator doors are open, revealing people inside who appear to be engulfed in flames. 
uncanny description: Elevators do not typically contain people who are on fire. 
entities: Elevator, Flames, Office_worker 
funny caption:",Well at least I'll have a heated lunch break.,I guess I should have checked the weather before heading into work today.,I guess this is how the company really wants me to feel about their new product line.,I guess it's a hot topic.,I guess they were just having a hot topic meeting.,Elevator pitch gone wrong,Looks like this elevator was going up in flames.,"I thought elevators were supposed to take you up, not down... or on fire.",I guess they take the heat seriously around here.,I guess the elevator was 'hot' today
717,validation,"scene: a living room 
description: Two people are sitting on a couch in a living room. A giraffe's head is poking up through a hole in the floor in front of them. 
uncanny description: It is unusual to see a giraffe's head coming up through the floor in a living room. 
entities: Giraffe, People 
funny caption:",Who put that giraffe down there?!,Why did the giraffe come into our living room?,It must be casual Friday at the zoo.,Looking up at life from a different perspective,Looks like our next houseguest is a little tall,Why do we always invite guests who are tall and have long necks?,Looks like someone forgot to water the plants,We were having a party when we suddenly realized that our guests had brought along an unexpected guest.,Having a giraffe day,Why do we always have wild animals in our homes?
721,validation,"scene: a playground 
description: Two children are playing in a sandbox. One child has built a tall sandcastle tower and is inside it, looking out from a window. The other child is kneeling outside the tower, adding more sand to it. 
uncanny description: It's unusual for a sandcastle to be tall enough for a child to sit inside. 
entities: Children, Sandbox, Sandcastle 
funny caption:",Looking down on the world from my sandcastle throne.,Looking good from the inside out!,Looking out from my castle of sand.,When you're too short to reach the top of your own sandcastle.,When you're too short to reach the top of your own sandcastle,Looking out of my castle wall while my friend builds me up.,Looking down at your kingdom from high above.,Looking good from up here! But I don't think we can go on a vacation just because of my amazing architectural skills.,When you finally build a castle that's taller than you.,I guess you could say I'm quite the castle builder.
729,validation,"scene: a castle 
description: Two royals, a king and a queen, are lounging in a hammock inside a castle. A guard is standing at the entrance, watching them. 
uncanny description: It is unusual for royalty to relax in a hammock inside a castle. 
entities: King, Queen, Guard, Hammock 
funny caption:",The only thing more relaxing than a massage would be a hammock with your queen.,Relaxin' like royalty... or just swinging low.,"Two birds of a feather, hanging out in their royal nest.",Looks like they're trying to swing their way out of this castle,Looks like they're swingin' away their troubles,Looks like they're taking their royal relaxation to the next level.,It's not every day you see a king and a queen lounging around like commoners.,Is this what they call 'Royal Relaxation'? I guess it's better than being locked up in a dungeon.,"Their Majesties are enjoying a little R&R, while their subjects wonder if they've gone mad.",Royal relaxation
730,validation,"scene: a laboratory 
description: A scientist is talking to a mouse wearing a lab coat in a laboratory. They are both holding clipboards and discussing something. 
uncanny description: It is unusual for a mouse to be dressed as a scientist and working in a lab. 
entities: Scientist, Mouse 
funny caption:",Why did the mouse go to the doctor? Because it had a bad case of rodent-itis!,"When you said you wanted to take over the world, I didn't think it would involve a tiny lab coat.",The mice have taken over the lab!,The mice are taking over the world one experiment at a time!,When you finally get your PhD but it's in rodentology,"When you told me I was getting a new pet, I didn't expect her to have a PhD.","When you said you wanted a mouse assistant, I didn't expect it to be this...furry.",It's the lab where mice rule supreme!,I guess mice can't resist the allure of science.,When you're a genius mouse in a lab
746,validation,"scene: prehistoric landscape 
description: Two cavemen are in an open area. One caveman is standing on top of a tall, uneven stone staircase, while the other caveman is standing on the ground looking up at him. 
uncanny description: The stone staircase is unusually tall and uneven for a primitive setting. 
entities: Cavemen, Stone_staircase 
funny caption:","I told my friend he was too short to reach the top shelf, so he went and got himself a ladder.",Just because we're cave people doesn't mean we can't have high standards,"Wow, this guy really knows how to take things to the next level.",I'm gonna rock this caveman fashion show,What do you call a caveman with bad posture? A rockstar.,When you're finally able to see the stars from your backyard.,Why did the caveman go to the gym? To climb these stairs!,"Hey buddy, do you need help climbing that?","I'm not afraid of heights, I just can't handle the unstable ground.",I can't believe I have to climb all these stairs just to get to my bed.
