contest_number,info,prompt,caption1,caption2,caption3,caption4,caption5,caption6,caption7,caption8,caption9,caption10
573,validation,"[INST] <> I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
 scene: a hospital room 
 description: A man is lying in a hospital bed with large headphones or a strange device on his head. A woman is sitting next to him, looking concerned. 
 uncanny description: The device on the man's head is unusually large and not typical medical equipment. 
 entities: Patient, Concerned_woman, Unusual_medical_device <> 
 funny caption: [\INST]",I told her it was just my way of dealing with the silence.,It's like he's listening to an audiobook about quantum mechanics.,"When you thought your hospital stay would be boring, but they gave you a giant helmet instead.","I told them I wanted to listen to my own heartbeat, but they said 'Sorry sir, we only have one available.'",The patient is listening to the doctor's voice through a giant ear trumpet.,"When you thought 'I hope my doctor prescribes me something to cure my boredom,' you didn't expect it would involve wearing a giant inflatable space helmet.",The patient's doctor must have been feeling particularly generous.,"I don't know what they're calling it, but I'm pretty sure it's called 'The Headphone Healer'.","When you thought you were getting a fancy hearing aid, but ended up with a giant brain scanner.",The patient is clearly undergoing treatment for oversized ears.
574,validation,"[INST] <> I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
 scene: a balcony 
 description: A man and a woman are standing on a balcony. The man is holding a spatula and looking at a photocopier as if he is grilling something. The woman is holding a drink and looking at the man. 
 uncanny description: The man is using a photocopier as if it were a grill. 
 entities: Man, Woman, Photocopier <> 
 funny caption: [\INST]",I thought she was cooking dinner until I realized she was just printing out her grocery list.,"They're trying to print out their love, but all they got was a charred copy.",When you're out of burgers but still want a barbecue.,"It's just like grilling, only instead of meat, you're printing out documents.","When life hands you lemons, photocopy them until they're blackened!",He's got his own personal copy machine. Now he can cook up some real paper burgers.,Looks like he's trying to make copies of his past relationships.,"He's trying to make copies of his grilled cheese, but this photocopier seems to be having trouble with the settings.",I guess this is what happens when you lose your sense of humor.,"I asked my husband why he was grilling his taxes on the balcony, and he said 'Because I heard they have a higher yield.'"
586,validation,"[INST] <> I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
 scene: a park or outdoor area 
 description: A couple is walking their dog on a sidewalk. Above them, a giant vacuum cleaner is flying in the sky, with its hose extended downward. 
 uncanny description: Vacuum cleaners don't fly in the sky. 
 entities: Couple, Dog, Vacuum_cleaner <> 
 funny caption: [\INST]",It seems like the dog is leading the way to a world where cleaning is done by machines.,It looks like the couple's dog found itself a new cleaning companion.,It looks like this dog is really getting sucked into the great outdoors!,It looks like this couple is trying to suck up all the dirt in the park.,It's hard to keep up when your vacuum cleaner takes flight.,"""It's always been my dream to have a vacuum cleaner so powerful it could suck me up into the clouds.""","Their dog was always a bit of a dirt magnet, but this takes cleaning to new heights.","""It looks like this couple is taking their dog on a leash to clean the park."" ","""It's just a dirty job, but someone's gotta do it."" - John Wayne",Just another day in paradise when the sky is filled with cleaning appliances.
598,validation,"[INST] <> I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
 scene: a mountain cave 
 description: A man is standing in front of a guru who is sitting on an exercise ball outside a cave in a mountainous area. The guru appears to be giving advice or wisdom to the man. 
 uncanny description: It is unusual for a guru to be sitting on an exercise ball in a remote mountainous area. 
 entities: Guru, Exercise_ball <> 
 funny caption: [\INST]",Guru on a Ball? More like 'Ball-ing Guru'!,The Guru must have been feeling downhill.,"The guru must have been feeling down in the dumps, so he decided to do some squats.",The only thing more mysterious than the guru's teachings was the guru's choice of seating.,Why did the guru sit on a medicine ball instead of a meditation cushion? Because he was trying to cure his lack of balance!,I guess this is what happens when you try to find your inner peace while bouncing around.,Wise words from a rolling sage.,I guess this guru knows how to balance his teachings with his workouts.,The guru on the exercise ball was definitely a mindful meditator.,Guru on a Roll: How to achieve enlightenment while bouncing off walls.
607,validation,"[INST] <> I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
 scene: an art gallery 
 description: A man is standing in an art gallery looking at a painting. The painting depicts people who appear to be looking back at him. 
 uncanny description: The people in the painting seem to be aware of the man looking at them. 
 entities: Art_gallery, Painting <> 
 funny caption: [\INST]",I guess they're quite the 'lookers',It looks like these paintings have a one-way mirror. They're great at hiding their true feelings but terrible at keeping secrets.,I wonder how much they charged for the 'Looking Back' package.,"It's a small world after all, even in a painting.",Looks like these paintings have their own eyes on me.,When you're the only one in the room with your own portrait.,"""The painting is staring back at me, it's like we're having a mutual admiration society.""","The painting was so lifelike, it gave me the creeps - but then again, I've always been a fan of surrealism.",It's like they're saying 'You ain't never gonna see us again.',"Well, it's clear that this painting is a masterpiece... of surveillance."
609,validation,"[INST] <> I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
 scene: a subway station 
 description: Two people are walking through a subway station. Instead of a train, there is a giant sandwich on the tracks. 
 uncanny description: A giant sandwich is waiting at the subway station instead of a train. 
 entities: Subway, Train, Food <> 
 funny caption: [\INST]",I guess this is what they mean by 'the best part of the ride'!,It's just another day on the subway when a giant sandwich decides to take over.,Why did the subway break down? Because it was tired of being stuffed.,This sandwich is taking the subway to new heights...and tastes delicious!,Why did the subway break down? Because it was trying to save money by eating its own lunch.,The next big thing in public transportation? A 'sandwich station'!,It looks like this subway station has finally gotten its priorities straight.,When your love for sandwiches makes you miss the train.,"I guess it's true what they say, 'You are what you eat.' And apparently, we all have our own personal subway sandwich.","""I guess when life gives you lemons (or sandwiches), you make lemonade (or a giant sandwich).""](https://www.thenewyorker.com/cartoons/new-to-you/i-guess-when-life-gives-you-lemons-or-sandwiches-you-make-lemonade-or-a-giant-sandwich)"
610,validation,"[INST] <> I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
 scene: a visiting room 
 description: A woman is sitting in a visiting room, talking on a phone. On the other side of the glass, a chef is also talking on a phone. 
 uncanny description: It is unusual for a chef to be in a visiting room behind glass. 
 entities: Woman, Chef <> 
 funny caption: [\INST]","""She's calling from a restaurant.""",The only thing missing from this picture is a recipe card.,"Chef: 'I don't know how much more of these bland soups you expect me to serve.' | Woman: 'Well, at least they won't spit it back out.'","They were cooking up secrets, one call at a time.","The woman was calling her boss to ask if she could make a special dish for her grandmother's funeral, while the chef was talking to his mistress.",The only thing more awkward than being in a visiting room behind glass is having your culinary creations served through it.,Chef from the Other Side,It's like they're cooking up a long distance relationship.,It seems like everyone's trying to make sure their guests leave satisfied... except this chef who's cooking up a storm behind bars.,"The chef on the other line was so good at cooking up emotions, she had me crying into my soup."
611,validation,"[INST] <> I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
 scene: a city rooftop 
 description: A pigeon and a small dragon are standing on the edge of a building rooftop in a city. The dragon is spreading its wings as if preparing to fly. 
 uncanny description: Dragons do not exist and cannot be seen on rooftops with pigeons. 
 entities: Pigeon, Dragon <> 
 funny caption: [\INST]",Pigeons: We don't need any more wings than we already have.,It's no wonder the dragon couldn't take flight with those feathers.,Looks like this rooftop is taking flight with two unlikely winged creatures!,"Pigeon: 'Looks like we have our own air traffic control tower.' Dragon: 'I'll take the skies, you handle the runways.'",What do you call a pigeon with delusions of grandeur? A sky-high bird.,"""Looks like someone forgot their umbrella...and it's raining dragons!""",Why did the dragon invite the pigeon to his rooftop party? Because he heard they had great taste in takeout!,"Pigeon: 'What's your problem? We have been living together peacefully on this rooftop for years.' Dragon: 'I don't know, man. I just got here and thought it would be cool to spread my wings.'","Dragon's wingspan exceeded even the highest skyline, making it the most impressive bird in town.","""Looks like this rooftop has more than just pigeons."" "
613,validation,"[INST] <> I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
 scene: an interrogation room 
 description: A suspect is being interrogated by two detectives in an interrogation room. One detective is leaning over the table, while the other is holding a balloon animal. 
 uncanny description: It is unusual for a detective to hold a balloon animal during an interrogation. 
 entities: Suspect, Detectives, Balloon_animal <> 
 funny caption: [\INST]",Why did the detective bring a balloon animal to the interrogation? To make sure the suspect didn't burst into tears.,I guess this guy isn't very good at blowing off steam.,"""Well, we all have our weaknesses. And mine just happens to be balloon animals.""",Why did the balloon animal take away my rights?,"The suspect confessed to being a balloon artist, but they didn't see this coming.",I never thought I'd see a suspect confessed over a balloon animal. But this detective sure knows how to twist the truth.,The only thing more tense than the interrogation was the knotty situation when the detective tried to make balloon animals out of his tie.,The interrogation was pretty intense until one detective realized he couldn't inflate the situation any further.,"What do we have here? A balloon animal, or a confession?",Why did the detective bring a balloon animal to the interrogation? To keep the suspect from blowing his own cover!
616,validation,"[INST] <> I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
 scene: an office 
 description: A man is sitting at his desk in an office, looking at another man who is holding a small, identical version of himself. The small version is holding a piece of paper and appears to be talking. 
 uncanny description: The man is holding a miniature version of himself, which is not possible in reality. 
 entities: Office_worker, Miniature_self <> 
 funny caption: [\INST]",It's always good to have a backup plan... unless it's a miniature version of yourself.,Looks like my doppelganger finally caught up on my workload.,It's like having your own personal echo chamber.,The ultimate selfie - when narcissism takes a turn for the supernatural.,Office worker discovers his doppelganger in miniature form - turns out it's just a tiny version of him.,"""The only thing more bizarre than working in this office is having a miniature version of yourself running around.""",Looks like someone finally found their 'mini me'...too bad it's just a figment of their imagination.,I guess my boss just wanted to make sure I was paying attention.,Looks like he's having a deja vu moment with his miniature self.,Looks like someone's got a case of the selfie-googles.
