contest_number,prompt,caption1,caption2,caption3,caption4,caption5,caption6,caption7,caption8,caption9,caption10
573,"[INST]I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters.  Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct.  It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon[/INST] 
scene: a hospital room 
description: A man is lying in a hospital bed with large headphones or a strange device on his head. A woman is sitting next to him, looking concerned. 
uncanny description: The device on the man's head is unusually large and not typical medical equipment. 
entities: Patient, Concerned_woman, Unusual_medical_device 
funny caption:","When you thoughtaids was just a myth, but then your doctor gave you this.",What did they call this new treatment? 'Sleeping With One Eye Open'.,It's all in your head... except for this giant headphone-shaped thing.,"The doctor told me it was just a standard procedure, but I think he's trying tohilate me.",Why did the patient refusezyme? Because he heard it was just another antimicrobial agent.,He just wanted to 'headphones' his recovery.,"The patient is suffering fromhonia, but the doctor says it's all in their head.",When you thoughttones would save your life.,"The patient's doctor told him he could listen to music while he healed, but it turns out he was already listening.",What did they give this guy? An iPod for his IV?
574,"[INST]I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters.  Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct.  It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon[/INST] 
scene: a balcony 
description: A man and a woman are standing on a balcony. The man is holding a spatula and looking at a photocopier as if he is grilling something. The woman is holding a drink and looking at the man. 
uncanny description: The man is using a photocopier as if it were a grill. 
entities: Man, Woman, Photocopier 
funny caption:",What's next? Is this guy going to use his phone as aasong?,It's like they're making copies of each other,When you realize your spouse has been secretly making copies of your socks.,It's the perfect blend of high and low technology - turning paper copies into perfectly charred dishes.,He just wanted toin his prints.,It's amazing what you can up when you put your mind to it.,"When life gives you lemons, make copies.",The couple whosided their love.,Looks like they're cooking up someharms.,Why did the chef use a photocopier to'e his steak?
586,"[INST]I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters.  Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct.  It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon[/INST] 
scene: a park or outdoor area 
description: A couple is walking their dog on a sidewalk. Above them, a giant vacuum cleaner is flying in the sky, with its hose extended downward. 
uncanny description: Vacuum cleaners don't fly in the sky. 
entities: Couple, Dog, Vacuum_cleaner 
funny caption:",It's a good thing this vacuum cleaner doesn't suck.,"It looks like this couple is trying to keep their dog on a leash, but it seems they've stumbled upon something more powerful.","Wow, it's a good thing we have dogs to keep us grounded.",It looks like this vacuum cleaner took a page out of a superhero comic book.,"Their dog was always a bit messy, but this takes it to another level.",What did they name their new pet? 'VuDog',It's a barking good time when your dog chases after a flying vacuum!,What do you call a couple who takes their vacuum cleaner for a walk? A sweeping date.,Why did the vacuum cleaner break up with its cleaning brush? Because it wanted more suction!,I guess this is how they clean up after a picnic.
598,"[INST]I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters.  Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct.  It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon[/INST] 
scene: a mountain cave 
description: A man is standing in front of a guru who is sitting on an exercise ball outside a cave in a mountainous area. The guru appears to be giving advice or wisdom to the man. 
uncanny description: It is unusual for a guru to be sitting on an exercise ball in a remote mountainous area. 
entities: Guru, Exercise_ball 
funny caption:",Guru says 'find your inner balance' while bouncing on an exercise ball in a dark cave.,The only thing more ancient than the mountain was the guru's outdated exercise equipment.,It's amazing how far a little motivation can go.,You want enlightenment? Sit on this.,Why did the guru decide to give spiritual guidance from a bouncy ball? He wanted to make sure his teachings were always rolling around in your head!,It turns outs was right - all it takes is a little 'peak' performance.,It's a good thing this guru knows his core values,What's this? Yoga in a Cave?,The only thing more bizarre than this guru's outfit is his choice of seating.,The guru told me to 'find my center'... turns out it was just this exercise ball.
607,"[INST]I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters.  Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct.  It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon[/INST] 
scene: an art gallery 
description: A man is standing in an art gallery looking at a painting. The painting depicts people who appear to be looking back at him. 
uncanny description: The people in the painting seem to be aware of the man looking at them. 
entities: Art_gallery, Painting 
funny caption:",It's like they're giving me a 'stare-down' from behind glass.,Looks like the painting was trying tostein me!,The people in this painting were really good listeners. I told them all my deepest secrets.,The painting's subjects must have been reallysy!,I wonder what these people would say if I asked them out on a date.,It's like they're saying 'Looks like we have a stalker',Looks like these paintings have eyes.,It's a two way street... or should I say canvas.,It's like they were expecting me all along.,Looks like these paintings have their own personalities.
609,"[INST]I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters.  Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct.  It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon[/INST] 
scene: a subway station 
description: Two people are walking through a subway station. Instead of a train, there is a giant sandwich on the tracks. 
uncanny description: A giant sandwich is waiting at the subway station instead of a train. 
entities: Subway, Train, Food 
funny caption:",The next stop? Subway-sized subs!,The ultimate deli experience. Hop aboard the sandwich express!,Looks like I'm getting my appetite checked by the subway.,It's like an all-you-can-eat buffet on wheels!,It's always a good time when your commute is served with mayo.,"It's just another day on the subway, except this time it smells like tuna.",It's time to take the subway - with your appetite!,Why did theyress? Because they wanted a tuna melt express.,Why did they take the subway? Because it was the only way to get to this sandwich.,"The next time you're late for work, just blame it on the delayed train...and your stomach."
610,"[INST]I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters.  Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct.  It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon[/INST] 
scene: a visiting room 
description: A woman is sitting in a visiting room, talking on a phone. On the other side of the glass, a chef is also talking on a phone. 
uncanny description: It is unusual for a chef to be in a visiting room behind glass. 
entities: Woman, Chef 
funny caption:",Is this ah-chef? I bet she's making dinner reservations from her mommy.,Woman: 'Goodbye Mom!'; Chef: 'Bon appétit!',It's clear she's calling her sous chef.,It seemssical... but why would they put a chef in a visitors' room? Maybe he just wanted to try out his famous three-coursesic.,It's not every day you have to cook inirus.,Why did the chefress break into song? To serenade hiss!,It's like calling intolewski's kitchen,It's like having your own personal restaurant.,It seemss Fancy Cook Can't Come To The Phone. It's All About Presentation.,The only thing more confusing than this visit is my grandma's recipe.
611,"[INST]I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters.  Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct.  It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon[/INST] 
scene: a city rooftop 
description: A pigeon and a small dragon are standing on the edge of a building rooftop in a city. The dragon is spreading its wings as if preparing to fly. 
uncanny description: Dragons do not exist and cannot be seen on rooftops with pigeons. 
entities: Pigeon, Dragon 
funny caption:",I guess it's just another day at the office.,Looks like this dragon is ready to take flight...but only after getting rid of all those pesky pigeons.,I knew Io was going somewhere when he started spreading his wings.,It turns out birds are not the only ones who like to spread their wings.,Looks like someone forgot their flight plans,Looks like someone's trying to catch a flight of fancy.,It's just a coincidence that this pigeons to be standing next to a dragon.,It's a bird... it's a plane... it's... a dragon.,Looks like someone decided to go on a rooftop adventure with their bird.,What do you call it when a dragon catches a pigeon mid-flight? A dragoneer!
613,"[INST]I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters.  Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct.  It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon[/INST] 
scene: an interrogation room 
description: A suspect is being interrogated by two detectives in an interrogation room. One detective is leaning over the table, while the other is holding a balloon animal. 
uncanny description: It is unusual for a detective to hold a balloon animal during an interrogation. 
entities: Suspect, Detectives, Balloon_animal 
funny caption:",It's clear he's feeling ballooned under pressure.,"Well, well, well. Looks like our suspect finally broke down. And he couldn't have done it without a little help from his balloon friend.",This interrogationsion is really starting to pop.,"It's clear he's under pressure, but it's hard to say whether the detective was more intimidating with his badge or his balloon skills.","Well, well, well, looks like we have ourselves quite the 'pop' star.",Why did the balloon artist join the police force? He wanted to make a difference...by making balloons!,"You may have been caught red-handed, but we found out you're actually just a puppet controlled by this balloon artist.",What do you have in your hand? A gun? No way! That's just a balloon animal.,This suspect must have really blown off the case.,What do you say when your interrogator starts inflating? 'You're blowing my mind!'
616,"[INST]I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters.  Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct.  It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon[/INST] 
scene: an office 
description: A man is sitting at his desk in an office, looking at another man who is holding a small, identical version of himself. The small version is holding a piece of paper and appears to be talking. 
uncanny description: The man is holding a miniature version of himself, which is not possible in reality. 
entities: Office_worker, Miniature_self 
funny caption:",The ultimate multitasking: answering emails while simultaneously being your own boss.,"It's like having your own personal clone assistant... only it's more like a tiny, uncontrollable version of yourself.",It's like having your own personal doppelganger... but he's just a tiny version of yourself.,It's a small world after all...but not quite small enough.,This guy must have beensized!,Is a new bosss!,It's like having a tiny doppelganger who doesn't speak English.,It looks like my boss wants me to do all the work twice.,It's like having your own personal clone...but smaller!,When you have so much paperwork that even your doppelganger needs help.
629,"[INST]I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters.  Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct.  It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon[/INST] 
scene: an indoor climbing gym 
description: A woman is rock climbing on an indoor climbing wall. One of the climbing holds is shaped like a human face. 
uncanny description: Climbing holds are not typically shaped like human faces. 
entities: Climber, Climbing_wall 
funny caption:",When you're so focused on reaching new heights that you start seeing things in a whole new light.,Looks like she's really taking her relationship to new heights.,This climb is really taking me out of my comfort zone - I never expected to encounter such a hold-up.,Looks like she's trying to find her 'hold' in life.,She was just trying to find her hold in life,She's really gripping onto life,Looks like the climber found a new challenge... holding onto their own ego.,It's no wonder she was able to reach new heights - the wall had her back.,I'm pretty sure this is how it feels to be stuck in traffic.,It's no surprise she couldn't reach the top; it was all uphill from there.
636,"[INST]I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters.  Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct.  It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon[/INST] 
scene: a construction site high above the city 
description: A group of construction workers are sitting on a steel beam high above the city, eating lunch. Among them is the Grim Reaper, holding a scythe. 
uncanny description: The Grim Reaper is casually sitting and eating lunch with the construction workers. 
entities: Construction_workers, Grim_Reaper 
funny caption:",It's not every day you see a skeleton join the lunch break.,Looks like these guys aren't afraid of heights...or death.,"It's just another day at the office for these workers, who apparently have no fear of death.",The only thing more daunting than a skyscraper is trying to avoid getting reaped by the Reaper while working at heights.,It turns out death takes a lunch break too!,It looks like these construction workers have the most interesting lunch breaks.,Sometimes you just have to take a break from cutting down life.,"It's a grim reminder that death comes to us all, even at lunchtime.",It turns out death doesn't have to be all work and no play. Even the Grim Reaper needs his break.,It's not every day you have the grim reaper join your lunch break at work.
