0,1,2,3,4,5,6,7,8,9
"I got her to open up, but now she's beside herself.",What makes you think the Russians were involved?,They were all in it together.,We gotta get the short one to open up.,"We’re pretty sure it was an inside inside inside inside inside job, detective.",I can’t shake the feeling that they all fit together somehow.,I only arrested the one on the left. But when we interrogated her she really opened up.,"Well, that would explain just the one set of footprints.",We got a tip from someone on the inside.,I think the small one is hiding something but I can't get her to open up
The judge ordered a short recess.,"Sorry, kid, but this is the corporate ladder.","Stop calling me 'Dad', you're embarrassing me in front of my friends.","Now that recreational pot is legal, you'll be seeing a lot more of us.","'Two more times, Dad, then we need to pick up Mom at ballet class.""",I’m 45 and A HALF.,Shouldn't you be somewhere staring at a screen?,You work here at Google too?,It's new for us. We're actually from a swing state.,"Wow, Bring Your Parents To School Day is so much more fun than taking you to work"
"He offered us a franchise, but I think it’s a pyramid scheme.","Finally, hotdogs are at the top of the food pyramid.",Of course it’s kosher – who do you think built this place?,I think it's safe to assume it contains preservatives.,"No, thanks--you never know who goes into those things.",We did it. All seven vendors of the ancient world.,He must be the only one in the whole Middle East actually making concessions.,"Look, It was either this or Pizza Tut",No thanks. Those things always get stuck in my sarcophagus.,Pretty steep for two hot dogs.
Still got that new cat smell.,My other cat is a Jaguar.,I just love that new cat smell.,It's a rental. The jaguar's in the shop.,It's a Furrari.,"Trump was right.  If you're rich, they just let you grab 'em.",Best part is it’s self washing.,"Statistically, it's much safer to be up here than down there.",Mousebroken !!,"This is, of course, the final item on my bucket list."
My next selection sounds just like the last one.,This next song is pretty much the same as the last one.,I could have been a conductor.,This next piece is dedicated to my ex-wife.,My next piece may sound a little bit like the last one.,Anyone else forget to turn off their cellphone?,They say dress for the job you want; not the job you have.,"And now, my musical interpretation of the Trump presidency...",That's right. I'm just that good.,And now Gershwin’s lesser-known ‘Rhapsody in Black and Blue’
"I said, 'Not in my backyard,' and they said, 'Ok, have it your way.""","I'll tell you one thing - if a train ever does stop here, I'm getting on.",The coroner ruled it a suicide but I'm pretty sure Bob was just on his way to the bathroom.,That’s not the tea kettle.,Something's different... is that a new lamp?,"If we time it right, I can show you the rest of the house.","Oh, I didn't cost a thing, Mexico is paying for it.",Just look both ways before you go to the bathroom.,"Yeah, but I no longer need a vibrator.",He's in the kitchen with Dinah.
I wish we'd noticed that before eating Bob.,I wish we’d seen that before we ate Dave.,I do not see a lifesaver.,Think there are any Life Savers?,See any Lifesavers?,I really don't have any room left after we ate John.,"I see two palm trees, a tire, and some driftwood. Why do you ask?",Over there they call it macarooned.,Oldest shark trick in the book,If only we had a Life Saver.
How do you respond to allegations that you're bipolar?,The poles show you’re in trouble.,I'm sure voters have noticed that you're completely in the dark half the time.,"Ask yourself, are you better off now than you were four billion years ago?",I guarantee in twelve hours we'll see a completely different side of my opponent.,"Oh, sure. But in 12 hours, you'll take the opposite position.","My opponent, on the other hand, tends to be all over the map.",That wasn’t your position this morning.,I guarantee in twelve hours my opponent will be on the other side of the issue.,"Ask yourself, are you better off than you were 4.54 billion years ago?"
Did you see the rock he gave her.,She's lucky. All the men I date are gatherers.,They met at the opera,Now I know why she calls him Hun.,I hear that they met on a Viking cruise.,It's progress. Her first husband was such a Neanderthal.,"So, is this your first Minnesota wedding?",“It’s about time they settled down and razed a village.”,They met clubbing.,...of course he 'takes' that woman. He's a viking. That's what they do.
I just made a guy disappear for twenty years. Can you do that?,When was the last time you saw either half of her.,Exhibit A had better reappear immediately.,Put the jury back in the box and hand me the wand.,I'm thinking of a number between 20 to life.,"No, you may not have a volunteer from the audience",I don't care what he said. He's the prosecuting attorney. Make him reappear.,That rabbit was evidence!,"And stop referring to the prosecuting attorney as, ""My lovely assistant.""","Listen!  If  I thought I could make obstruction of justice just ""disappear"" I'd be president of the United States!"
You should see the couch they have at the urologist's office.,The last place I saw a couch like this also charged by the hour,What do uou mean MY oral fixation?,Are you going to help me or is this just lip service?,Shouldn’t you be sitting in an ear?,It just feels like everyone is kissing my ass,So this is the famous Freudian's lip.,MY oral fixation?!,"Oh, and I suppose that sometimes a couch is just a couch.",Can you make the tongue do that again?
He went right from crawling to stand-up!,"Thanks, you've been a great audience, I'll be awake all night.",My next guests I have known my entire life.,"Look, honey! He skipped crawling and went straight to stand-up!","I'd like to start off by saying—thanks for having me, folks!","America, are you ready for a change?  I know I am",Let's have a hand for the folks who made this all possible.,"Thank you, thank you.  Don't miss my next show, at 2 AM.",... and also big thanks to those tuning in on the baby monitor.,My next number will be a Number Two.
Someone came to school with humans. Now we’ve all got them.,It didn’t really bother me until they discovered fire.,"As a previous partner, I thought I’d let you know.",The doctor says they’ll be gone in a few million years.,"Don't get too close, I have sapiens.","Ice didn't work, so I'm trying acupuncture.",Watch what happens when I sneeze.,"So instead of spraying, you waited and they just killed each other?",We never had this problem with the gatherers.,It's hard to believe we'll go extinct before these idiots.
I take this myself.  There is one side effect I should mention.,I'm sure it works. I was involved in the original research.,These should help with the hallucinations.,Don't worry. I wouldn't prescribe anything I haven't tested on myself.,"No, I said I was a rodent scholar.",I started in the lab and then went to medical school.,"Bring this up to the receptionist. You'll go down the hall and take a right, then another right, then a left, then a right again...",We take Blue Cross or Blue Cheese.,You came to the right place. I DO give a rat's ass about your problem.,Why do you keep asking about side effects?
"You know we could've had eggs for life, right?","Like I said yesterday, it's almost done.",It’s not a grill problem; it’s a chicken problem.,I don't tell you how to gather.,Cook time is 15 minutes per pound - Go ahead and plant the potatoes!,A simple 'Thank you for inventing fire' would be nice.,Of course it's rare - it's almost extinct.,It took one million years to discover fire. You can wait another five minutes.,"I’d invite the neighbors for dinner, but our dinner ate the neighbors.",It's the last time I let your father shop at Costco.
The leftover salmon. Into my dish. You will remember nothing.,Must....return....new....puppy...,"Remember all the times I ran into the wall chasing that red dot? Who's laughing now, Gary?",Now it is I who will post videos of you on the internet.,For 13 years Fred inexplicably woke up with fingertips that smelled like tuna.,The ahi. Not the canned.,Having nine lives: awesome. Controlling one human: priceless.,"When you wake, you won't miss the dog, the new kitten, or the liver pate.",Why we never heard much about Pavlov's cat.,Your fish is my command.
I don't mind autumn so much; it's the fall I hate.,Congratulations. You're now the branch manager.,Deciduous? When were you going to tell me,"I've led a good life, but now it's time to meet my raker.",I'll wait for you on the car.,You said we’d BOTH go on three!,It’s not you. It’s November.,"As usual, you're never ready when it's time to leave.",Seems to me you have problems letting go.,Give me a call when you get to the ground. We'll do mulch.
"Publicly, we're still saying there are no side effects.",You all remember Phil — we used to hang out under his bed.,This is a good point to stop the meeting; I see that lunch has arrived.,"Suddenly,  Jeff realized he should have posted his resume on other sites besides monster.com",Dr. Smith here will explain what went wrong with the clinical trial.,"Do we need to discuss diversity, or are we good?",Welcome Bob to the team. He'll be with us until about lunchtime.,"Good, Human Resources is here.",Apparently we’re the only people willing to work in the White House during Trump’s second term.,He’s an attorney. Of course he’s cold-blooded.
3 ..2.. 1..,My mother in law sucks all the oxygen out of the room.,... in case it DOESN’T stop at the penthouse ??,"Psychiatry - 5th floor, huh? Me too !",New suit?,Just one small step and you'll be in the lobby.,"Watch your one small step, please.","I agree,  the fragrance spritzers are a bit insistent...",Would you like me to call the shuttle for you?,How long do you have to wear that before you win the bet?
I didn't say I would help.  I said I'd accompany you.,"I never said I'd help, just that I'd accompany you.","Remember when you said, 'WE spent a tough ten hours in labor?"" Well, now WE'RE shoveling the snow.","If I had a shovel, I’d shovel in the morning, I’d shovel in the evening all over this town...",Our next song is dedicated to a special someone who decided not to take the family to his in-law’s Florida timeshare.,Look at us!  Both enjoying our Christmas gifts to each other.,"Ooo. I've got another one... ""There's snow business like snow business...""",Let me know when you're ready to pick up the tempo!,"Hello sidewalk, my old friend...",Can you believe Nancy traded me this guitar for the snow blower?
Two of you have underlying issues.,You need help - on so many levels.,"So, I gather your health plan didn't tell you what a Tier III plan is.","Linda, why do you think  men are 'beneath' you?","Where shall we begin--with acrophobia, claustrophobia, or fear of being crushed?","Well, Freud never had to pay rent in Manhattan.","Patient number two, same question.",Welcome to Medicare for All at the Same Time,"Don’t worry, I am certified to treat multiple personalities.","Have you considered the possibility that 
you are three separate people?"
Remember when he was just a humming bird?,That's what happens when you make a nest with bluegrass.,This next song is for the two idiots with the binoculars.,"A Martin? No, I think it’s a Gibson.”","Well, I'll be damned Bill. It's a Rockin' Robin.",This ones’ for all you empty nesters out there”,I can usually identify a bird by the song but I think he's doing a cover.,It's always about some chick...,"Sometimes when they fly South, they only make it as far as Nashville.",I heard he toured with Sheryl Crow.
...there's yer problem!  ya gotta short circus!,Is it wise for the entire presidential administration to ride in one car?,"On your way to the Republican National Convention, I see.",No wonder it pulls to the right.,"We had to replace one of the clowns with a politician, but you shouldn't see much of a difference in the ride.",I think we’ve found the source of the funny noises,I'd say your problem is this dipstick.,"Well, there’s your problem, we’ll need to change attire.",You'll go faster if I remove the Governor....,Who's the clown in the suit?
"""MEET ??"". I heard ""EAT"".",I've been told there's a thesaurus here.,"Mary Trump, your uncle sent me.","Oh really? Well, I thought bookstores were extinct.","To Archaebpteryx, spelled just like it sounds.""","The phrase you used, I believe, was, “Hilariously short arms.”",Let ME tell YOU about the Paleo diet.,You're still publishing on paper and I'm the dinosaur?,I couldn’t put it down. In fact I couldn’t pick it up.,I'm also a voracious reader.
"With all due respect, Helen, you’re gonna find crappy men in China, too",During next week's session we'll have you paint yourself into a corner.,"Well, I think we did more than scratch the surface today","No, by all means-I want to see where you're going with this.",I think we broke new ground today.,"Ok, our time is up for today. We'll dig deeper next week.","Actually, “buried feelings” was a metaphor.",You can leave him there but I’m still billing you for ‘couples’”,Your time is up.  We'll dig a little deeper next week.,"There are easier ways out, Melania."
Your going as a satellite dish?  I'm going as a pilgrim.,"As a Republican I have to wear it this way, otherwise it's impossible to stick my head up my ass.",Any place you'd like me to lick for you?,"It might be on backwards, but now they put the thermometer in my mouth.",No one wears their cone like that anymore Dad,I could never pull that off.,"Technically, I'm in compliance.",I think I got the placebo.,I'm getting much better mileage too.,"You went to the vet.
I went to the seminary."
Just be glad he's not wearing his kilt today.,I think it's called an air B&B.,I just hope they don’t put in a pool.,They never tell you the whole story behind those reverse mortgages.,"It’s a nice house, but the neighbors are right on top of us.",I don’t think he understands the gravity of his situation.,I'm always afraid he will drop in unexpectedly,I always have to remember to look angry so he thinks I’m smiling!,You said your grandson made those brownies...?,"If he says ‘Hey neighbour, what’s up?’ one more time, I’m going to scream."
"If you see a fork in the road, avoid it.","If you jump up and down, it starts snowing.",My fish says you get used to it.,"It would never work...
we move in different circles.",I had to break up with my last boyfriend because he was a prick.,"Well it’s clear this is a dream, no one is looking at their phone.",Really regretting that bean burrito right about now.,"It's not the vaccine I'm afraid of, it's the needle.","And to think, a year ago we were all stuck inside.",Remember when this was just a metaphor?
Don't give them anything. It only encourages sequels.,"Be careful, the one behind us is unabridged.",I think I took one of them to bed.,we're literally surrounded,Just say you like them better than the movie,Just keep walking and act illiterate.,Just play it cool and whatever you do don’t say the movie was better .,"Don't worry — they're not street smart, just book smart.",I've always felt uncomfortable in literary circles.,This is textbook harassment.
Honey can you close the door? I’m in a meeting.,I’m secretary of the exterior.,My company rehired me as an outside consultant.,The most unbelievable part of this cartoon is that there are open parking spaces.,Your 3 o’clock is waiting behind that tree. Shall I send him in?,"Yes, Helen, I'll be home for lunch.",This was as far as the wi-fi goes,It’s an entry-level position.,Our company is going public.,"You're right, the neighbors WiFi is better."
He's the only one who can legally hand out refreshments to voters in Georgia.,One soul for half a dozen lemons is still cheaper than Whole Foods.,He says I don’t have to worry about returning the dish.,"Honey, I believe your words were ‘I would die for some fresh squeezed lemonade.’","Of course it’s farm to table, look at his scythe.",Let’s hold out for Death by Chocolate .,Which delivery app did you use?,Would it kill you to try one?,It's his specialty: just desserts.,I always thought it would be death by chocolate.
Sometimes a dipstick is just a dipstick.,"The impotence, that feeling of being out of control when you find yourself parallel parking against your will, probably started when you were being assembled.",I'd like to see you again in two thousand miles.,"I'm afraid we're out of time, but I'd like to see you again in 5,000 miles …",And was this your first breakdown?,Where do the voices tell you to go?,So you're no longer attending your AAA meetings?,And are the clowns inside you now?,I don't think I'm charging you enough.,"We have to end for today, but I've set your next session for 3 months or 3,000 miles, whichever comes sooner."
He said the patent expired,He says the guy with the original idea never took out a patent!,He is making a life preserver for my Mother.,I hope he discovers fire soon. Dinner is at six.,He told me that the patent expired.,"There, that's as close to a perfect square as I can get it.",I don't have the heart to tell him it's been done.,He 'fears' something might happen to me soon that will send him to prison; so he's learning to use a rock hammer.,It came today but we ordered it ages ago.,The hole in the middle was my idea.
It's amazing to think he started out in the lobby.,"Before we start, would anyone else like some water?",He got his start in the lobby.,...and I'll need an office with a window.,Ten bucks says he mentions 'sustainable growth',Don’t look so surprised people…this IS a hedge fund,I thought we were moving all of our plants to Mexico.,It looks like Millennials are out and Perennials are in...,I thought all our plants moved to Mexico.,"What I said was, ""We need a plan."""
"When I asked you to line up a meeting with the Department Chairs, this is not what I meant.",Are you willing to relocate?,Where do you see yourself five chairs from now?,"Actually, we were looking for someone a bit more aggressive.","At one point I had them in a semicircle, but it gave people a sense of equality.",Martin realized he was facing some fierce competition for the ghost writer position.,For $25 you can upgrade to the Business Class interview.,"As you can see, we do things differently here at Pez.",Obviously you weren't my first choice.,What makes you think you were not our first choice?
Row v. Wave,We shall overcomb.,Row v. Wave,"I don't know what's worse, the undertow or the combover","Don't worry, the polls show it will miss us.","Ladies and gentlemen, if you look to your right, you’ll see a gift of friendship from the people of France; straight ahead, a gift of friendship from the people of Russia",You've got it all wrong. We're emigrating.,Mayday! We've been hit by a raging tycoon!,To think this started as a Twitter storm.,We shall overcomb.
"Well, I'll be damned...",I'll be damned.,I'll be damned.,"Well, I'll be damned...",You're naked AND you bake?,We have an oven ???,"Phew... when you said you had something in the oven, I thought you meant something else.","'When you said you had one in the oven that's not what I thought you meant.""",How about them apples?,Wait -- what going away party?
I pictured it differently when you said you kept my room just like it was.,"Fine, mom. You've made your point. I'll start looking for an apartment tomorrow.","No, you grow up.","Mom! When you said I could have my old room back, this isn't what I had in mind.",I hate being born on Leap Year.,"Hey Mom, when I asked if I can move back into my old room, this wasn't exactly what I had in mind.","Nope, still not ready to finish those peas.","I can hear you, you know.",It's time to get my own crib.,You said I could have my OLD room back...not my FIRST room!
"And lastly Father, I bit the mailman",Tell me about it. It's been a week since I licked mine.,Can you hear me now?,Just let go of the stick and this will all be over.,And you thought the cat couldn't open the superglue.,"No offense, but I prefer your other end.",You're right! The acoustics are amazing!,"Squirrel outside, freshly waxed floor, plate glass window. You?","No, YOU need a mint.",This is great. They'll never find us now.
They're willing to work nights.,"Yes, I found my laptop. But, now I can't find my mouse.",They are demanding equal prey,"I only needed one, but Costco makes you buy a whole case.","No, I have no idea why your computer doesn't have a mouse anymore.","Not whom, Miss Ferguson, who.","Mrs. Jenkins, you may have misunderstood me when I said. ""Reserve Hooters for the office party.""",HR says you're not allowed to refer to them as hooters.,Best damn owl salesman I've ever met.,"Go ahead, ask what our first baseman's name is."
Like you've never taken anything from a hotel room.,Like I'm the first person who's tried sleeping their way to the top.,And yet you embraced the standing desk.,Then quit making the meetings so early.,It's called a Murphy desk.,"The doctor said, 'stay in bed,' he didn't say, 'don't go to work.'","What can I say, I'm good in bed.",I'm not going to take this lying down,"Are you in my dream, or am I in your office?","Yes, I can literally do this job in my sleep."
It's the Heineken maneuver.,I have a hunch I'm in the placebo group.,My blood alcohol was dangerously low.,"I have no idea, but it was the only thing TrumpCare would pay for.",You have to leave now. Visiting hours are over and happy hours are starting.,They say I should be up and staggering around in a day or two.,You don't want to know about the catheter.,We're going to need a bigger bedpan.,Yes my doctor was in my fraternity - what's your point?,Doc said two Pils every four hours.
I'd better give it a little longer. It's a really tough case.,"He told me to cook the books, but didn't say for how long.",Something tells me that there are two prime rib steaks sitting on my desk.,What makes you think I quit my job?,Hopefully cooking the books works better than laundering the money.,"No, I won't be going back to work on Monday. Why do you ask?",Cases like this are rare.,Dinner will be brief tonight.,How often do you turn over your portfolio?,"Not really sure,my boss just said, ""Put it on the back burner."""
Of course it looks alien to you. You've never used one.,I have a feeling they are going to treat us like dirt.,"Left on Pennsylvania Avenue, big white house on the right. Can't miss it. Please hurry.",And they say life can't exist in a vacuum.,Wow. Aliens really do perform the jobs most Americans won't do.,As a matter of fact we'd be delighted to take you to our leader.,If they were highly evolved don't you think we'd see some attachments?,We can only hope that they're coming for our leader.,Eureka !,"finally, an identifiable flying object"
I'm the fitness guru. The wisdom guru is one mountain over.,When I retired from Google they let me keep my chair.,It's for my back. You have two more questions.,"No, but I can show you the path to a tighter butt.","Before I settled here, I bounced around a lot.",It turns out that inner peace is 95% core strength.,Enlightenment? I'm just trying to achieve alignment.,"The keys to a long life are balance and color, but mostly staying away from the edge.","You only get one question and you ask, ""What's that?""!",I think there's a misunderstanding. I'm the Bally Lama.
My only regret is that he never got around to visiting your mother.,He touched so many lives.,"Well, that just leaves taxes.","You know, I can never define irony, but I know it when I see it.",I was hoping taxes would go first.,"Well, I guess that just leaves taxes.",He lived everyday like it was your last.,I wonder if he saw himself coming.,All they’d say is that it was job-related.,I guess we can stop eating kale.
He really did appoint Chris Christie as Secretary of Transportation.,We can take this and transfer to the BLT at 42nd,You rarely see heroes in the subway anymore,"Next stop, New Deli.",Why does everything look like food when I am on a diet?,Let’s wait for the next train. Something’s not kosher with this one.,I think we're at the wrong Subway,I’m just relieved Subway outbid Trojan.,"You realize you’ve just wasted your last wish, don’t you?","Budget cuts, service cuts, now, cold cuts?"
'Bad news. They found the proof in the pudding.',"You can keep calling it ""flambé,"" but out here it's felony arson.",They're asking if you prefer gas or electric...,Beat until stiff meant the eggs.,The good news is they're letting you prepare your last meal.,"Cooking meth doesn't make you a chef, Steve.",For heaven's sake give them the recipe!,"On the bright side, he'll never give you a bad review again.",Prepare to serve ten to twenty.,"On the bright side, your ""Death by Chocolate"" exceeded expectations."
"Believe me, I’ve tested a lot worse things when I was in pharmaceuticals.","If he can be President, I can fly.","""Fine, but for our second date you are coming sewer rafting"".","Okay, just one more time to clarify...statues are worth 5, newly washed cars 25 and investment portfolio managers...125?",I don't know Mom. I'm starting to think maybe I was adopted.,"So he says “pigeons are just rats with wings.” And I was like, “whoa… Rats. With. Wings.”","Yeah, but I identify as a pigeon.","Dress for the job you want, not the job you have.","So, all I do is land in the park and people toss food at me?",It was either this or fly United.
"We are authorized to use farce, if necessary.","Unless you want a very long ride in a very small car, I suggest you start talking.","Oh, you'll laugh. They all laugh.",Don't make us go for the juggler.,"If you think he's a clown, wait until you meet your public defender.",I’m going to need you to describe the perp to our balloon artist.,“I’m the carrot. He’s the stchick”.,"If you want to see a giraffe, we're going to need more a lot more information.","You are in Canada sir. Its good cop, funny cop.",Does it look like we're joking?
I’ve advised my client not to talk.,I've got corporate up my ass on this one John...,I want to report inappropriate touching.,Of course he had a hand in this!,I need you to order all of the 'For Dummies' books on this list.,"Trust me, I speak for both of us.",Do you have any idea who you're talking to?,"His words, not mine.",We want time-and-a-half.,Could you take care of this? The boss is breathing down my neck.
"In retrospect, I should have been more specific when I told the genie I wanted to be in a rock group and have women climbing all over me.",My therapist said I should try to be a little boulder.,What makes this worse is that there is a racket ball court on the other side,No matter what I say I end up with a foot in my mouth.,Be sure to tell your friends you climbed the face of Everett.,Go ahead. Use me to get to the top.,"...and then for my third wish I said, 'I want women climbing all over me!'",I'm lucky! Most geologists don't find a job in their field right out of college.,It's not a career.  It's just a stepping stone.,"I was desperate. It was this, or White House press secretary."
"Yes, we all had the potato salad.  Why?",So all they told you was ‘the guy in the overalls?’,Whaddaya mean this is a “working lunch” for you?,Don't take it personally. We defy death pretty much every day.,I assume this is one of your easier assignments.,"In that case, I'm gonna eat dessert first.","581 days without an accident, and then you show up.",Guess I'll go ahead and eat my dessert first.,"If it helps you decide, the guy on the end is also a heavy smoker.",I knew a Jim Reaper back in Yonkers. Any relation?
"Every move you make, 
Every leaf you rake,
I'll be watching you.",Your wife said for me to tell you that you're doing it wrong.,So you're the fall guy.,"And in this exhibit we have the “leaves raker”, simulating what people did before the discovery of simply blowing them into other people’s yards.",I preferred his earlier yard work.,I'm here here to review the fall collection,Add a velvet rope and people will pay for anything.,"WITH the grain, Pete. WITH the grain.",I also like watching paint dry.,I’m with Neighborhood Watch.
Like it would have killed you to ask him for directions.,"Oh, shit! What if your sister-in-law is also right about God?","Don’t bring a camera, you said.  Just enjoy the experience, you said.",He just walked by like he thinks we don't exist.,He asked that we please wait while he gets his camera or his friends will never believe him.,"Oh, so first he doesn't exist and now he's flirting with me?",He said it’s not him but he gets asked that all the time.,"Unplug"" you said. ""Leave the phones in the car"" you said",He doesn’t believe in us either.,He walked past me like I  didn’t exist.
I am pleased to announce that Dopey will be leaving us to pursue a career as White House Chief of Staff.,"To be honest, finding out that you're all gay is a bit of a relief.","Remember guys , when the prince comes you’re just my sisters kids.","Grouchy, you'll be Press Secretary, Dopey you'll be Attorney General...",Don't tell me.  Let me guess. Creepy is behind me.,"So, which one of you is ‘Wealthy’?","I would prefer, ""Hello, Snow White"". Not ""Hi, Ho""",This shot is for the USC application!  Pretend you know how to skate!,I am now Snow Caucasian and you are the seven little persons.,OK. 10 more minutes. Then off to work you go.
