contest_number,image,prompt,caption1,caption2,caption3,caption4,caption5,caption6,caption7,caption8,caption9,caption10
661,661.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: a fairytale landscape 
description: Snow White is standing and smiling while the seven dwarfs are roller skating around her in a joyful manner. There is a castle in the background. 
uncanny description: The seven dwarfs are roller skating, which is anachronistic for their time period. 
entities: Snow White, Seven Dwarfs, Roller Skates 
Generate a funny caption for the image: [/INST]","White's royal roller coaster ride through the kingdom!""","upon a time, the only thing spinning faster than Snow White's head was the wheels on these vintage rollerskates!""","White's surprise party turns into an imprompt ice rink performance!""","White's surprise party takes an unexpected spin!""","Snow White said 'Who's the fairest,' she didn't mean it literally!""","White's surprise party takes a modern twist!""","White's royal ball? More like a dwarf disco dance party!""","White's surprise birthday party goes viral in medieval times.""","White's royal decree: 'Let it rollerblade!'""","White's surprise at finding out her new royal guards had been secretly enrolled in an extreme sports training program."""
663,663.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: a kitchen 
description: Two people are looking at a pizza box on a table. Inside the pizza box, there is a miniature scene of two people having a romantic dinner. 
uncanny description: It's unusual to find a miniature dinner scene inside a pizza box instead of a pizza. 
entities: Pizza_box, Miniature_people 
Generate a funny caption for the image: [/INST]","ing for a cozy night in? How about a microscopic dinner for two in a pizza box?""","your significant other surprises you with a 'love at first slice' special edition pizza.""","love blooms even in the most unexpected places.""","your significant other promises 'pizza' but it's actually a surprise 'dinner date'... inside a pizza box.""","your date night goes from cozy to compact.""","your date shows up with a surprise 'romantic' dinner - straight outta the oven.""","your date suggests 'intimate dining,' you weren't expecting it quite so literally.""","your date surprises you with more than just pizza.""","you order 'the works' and end up with a tiny love story instead.""","'date night' takes a literal twist."""
681,681.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: a city street 
description: A man and a woman are walking down the street. The man has crab claws instead of hands, and the woman looks annoyed. 
uncanny description: It is unusual for a person to have crab claws instead of hands. 
entities: Man, Crab_claws, Woman 
Generate a funny caption for the image: [/INST]","your lobster dinner comes home from the market...""","your date shows up with a surprise 'shell-fishing' accessory.""","your date shows up looking like he's ready for a seafood feast.""","your date tries to make dinner reservations without texting first.""","your date shows up wearing a pair of unexpected 'catch of the day' accessories.""","your date shows up without any 'shell' of a good time.""","your date shows up with a seafood surprise.""","your date shows up with unexpected 'crustacean' charm.""","your date gets 'shell-shocked' at dinner.""","your date shows up looking like she's ready to scuttle off without you."""
685,685.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: a forest 
description: Two hikers in the woods encounter a giant honey bear bottle with a spout on its head. The hikers look surprised and cautious. 
uncanny description: A giant honey bear bottle with a spout on its head is walking in the woods, which is not something you would ever see in real life. 
entities: Hikers, Anthropomorphic_honey_bear 
Generate a funny caption for the image: [/INST]","you're lost in the wilderness and stumble upon your sweetest nightmare.""","you're lost in the woods, the last thing you expect to find is a talking honey bear—and definitely not one with a 'spout on top!'""","you realize 'Bearly' is the new camping slogan.""","your camping trip takes a sweet turn...""","you're lost in the wilderness and stumble upon a six-pack of the sweet stuff.""","your sweet tooth leads you into a sticky situation.""","your trail mix goes rogue!""","your sweet tooth leads you into unexpectedly sticky situations.""","your thirst for adventure leads you into a sticky situation.""","you're hiking and suddenly your sweet tooth gets literal."""
695,695.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: a restaurant entrance 
description: A waiter is standing at a podium, looking surprised at a slice of bread with a face, arms, legs, and a bow tie. 
uncanny description: Bread does not have human features or wear bow ties. 
entities: Waiter, Anthropomorphic_bread 
Generate a funny caption for the image: [/INST]","your freshly baked 'customer' turns out to have a strong personality!""","you realize your dinner roll has a personality and fashion sense.""","you realize your new 'artisanal' sandwich is more than just rye!""","your daily special becomes sentient.""","your dinner roll starts giving you the side eye.""","your dinner roll decides it wants to be the life of the party.""","the daily special is a whole lot more than just 'bun'.""","the unexpected becomes unbearable - serving surprises even at the bread basket!""","the 'whole grain' promise turns out to be literally true.""","even your daily bread wants in on the tip jar."""
696,696.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: a dining room 
description: A cowboy is pouring coffee from a pot into a coffin that is placed on a dining table. Two people in formal attire are sitting at the table, looking at the cowboy. 
uncanny description: It is unusual and unsettling to see a cowboy pouring coffee into a coffin at a dining table. 
entities: Cowboy, Coffin, Diners 
Generate a funny caption for the image: [/INST]","cowboy's brew was so strong, it needed its own final resting place.""","oy brews a fresh batch of 'Wake Up Dead' for his morning ritual.""","your favorite barista gets promoted to the afterlife.""","cowboy's latest invention: the 'Brewsie Casket,' now serving freshly brewed remains.""","oys and cremation: An unconventional approach to morning coffee!""","oy's new specialty: Brew-You-Own Caskets!""","your barista just won't give you a refill.""","cowboy's new morning routine just got a little... premature.""","you realize your new barista is also your undertaker.""","your barista tells you 'death before decaf' isn't just their motto."""
697,697.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: a train station 
description: A man is walking the plank off a train, while a pirate and another person watch from the train door. 
uncanny description: It's unusual to see a pirate making someone walk the plank off a train instead of a ship. 
entities: Pirate, Train, Plank 
Generate a funny caption for the image: [/INST]","your captain announces 'We're taking this cruise to the next level!'""","not every day you hear 'You're fired ... onto the plank!'""","you realize your daily commute isn't so different from 'The Black Stallion'""","you forgot your boarding pass and they insist on a 'realistic' reenactment.""","your crewmate forgets their 'walking the plank' etiquette on a sea voyage train ride.""","your captain wants you to 'walk the plank,' he means it literally!""","tes don't always sail the seven seas—they also ride the rails!""","your best friend insists on 'boarding' the wrong train.""","your captain catches you loitering on deck.""","d this sinking ship - we don't have a 'plank' for your nonsense!"""
700,700.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: a pharmacy 
description: A centaur is standing at a pharmacy counter, talking to the pharmacist. The centaur is holding a prescription bag. 
uncanny description: Centaurs are mythical creatures and do not exist in real life. 
entities: Centaur, Pharmacist 
Generate a funny caption for the image: [/INST]","your horse gets a headache.""","aurs just need a little 'equine'tune-up from time to time!""","your health insurance plan has more hooves than brains.""","your insurance coverage starts acting like it's from another world.""","your insurance doesn't cover unicorn medicine.""","even your local drugstore can't keep up with your Equestrian needs.""","your insurance coverage doesn't cover 'unicorn specials.'""","aurs don't always need Rx for their health—sometimes it's just a case of 'bucking bronchitis.'""","cription potion for unicorn allergies?""","your insurance doesn't cover unicorn blood pressure medication."""
701,701.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: a restaurant 
description: A waitress is taking an order from a mouse that is sitting at a table and holding a menu. Other patrons are visible in the background. 
uncanny description: Mice do not sit at tables and order food from menus in restaurants. 
entities: Waitress, Mouse, Menu 
Generate a funny caption for the image: [/INST]","you're a mouse, even fine dining comes with its own set of challenges.""","your mouse has a taste for fine dining.""","your new pet insists on being treated like royalty.""","your cheese budget is as big as your appetite!""","you finally decide to treat yourself to fine dining - on your own terms.""","even your rodent customers start acting like humans.""","your regulars start ordering gourmet cheese wedges.""","your best friend turns out to have impeccable dining etiquette.""","your 'customer' turns out to be a rodent gourmet.""","the mouse becomes the master, and orders a gourmet cheese platter."""
706,706.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: a forest 
description: Two hikers with backpacks and walking sticks are walking through a forest. They come across two subway trains labeled ""2"" and ""A"" in the middle of the woods. 
uncanny description: Subway trains do not belong in the middle of a forest. 
entities: Hikers, Subway_trains 
Generate a funny caption for the image: [/INST]","you take a wrong turn on your hike and end up at the wrong subway station.""","your map app sends you down the wrong tracks.""","taking the scenic route to the city becomes literal.""","you take a wrong turn on your hike and end up at a lost subway station.""","you realize your map was a little off, but at least there's public transportation in the wilderness.""","your GPS guide takes you on a literal detour!""","on: ""When you're hiking through a forest and stumble upon the most unexpected subway station.""","e midst of a woodland adventure, our intrepid hikers encounter an unexpected sight—two subway trains seemingly lost in the wilderness! As they stand there, scratching their heads, one hiker turns to the other and asks, ""Do these tracks lead anywhere?""",", looks like we've taken a detour from our usual commute!""","your GPS takes you on an unexpected detour."""
709,709.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: an office building 
description: A woman with a briefcase is waiting for an elevator. The elevator doors are open, revealing people inside who appear to be engulfed in flames. 
uncanny description: Elevators do not typically contain people who are on fire. 
entities: Elevator, Flames, Office_worker 
Generate a funny caption for the image: [/INST]","you realize your Monday morning meeting is going to be a real 'hot' topic.""","you realize it's 'bring your own flame day' at the office.""","your boss says 'I need these reports by EOY'... But you forgot to make coffee.""","you realize the 'hot' coffee you brought was literal.""","your boss says 'these meetings are heating up' - Literally!""",your boss asks you to 'get in the elevator'...,"you realize your team meeting just got a lot more competitive.""","your coworkers take 'burning the midnight oil' literally.""","your boss says they're 'burning the midnight oil'""","your boss announces 'we're taking the team building exercise to another level!'"""
717,717.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: a living room 
description: Two people are sitting on a couch in a living room. A giraffe's head is poking up through a hole in the floor in front of them. 
uncanny description: It is unusual to see a giraffe's head coming up through the floor in a living room. 
entities: Giraffe, People 
Generate a funny caption for the image: [/INST]","you realize your house just joined the safari.""","your pet giraffe makes itself at home during a dinner party.""","your friends invite you over and don't tell you they have a pet unicorn.""","r housewarming party just got wild!""","your houseguest gets a little too comfortable.""","reat, now we have to share our living space with an uninvited guest.""","your living room becomes the new safari lounge.""","your neighbors forget to close the patio door.""","your pet giraffe decides to join family game night from below.""","your guest says they're 'in the middle of things,' but you didn't expect this kind of 'middle!'"""
721,721.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: a playground 
description: Two children are playing in a sandbox. One child has built a tall sandcastle tower and is inside it, looking out from a window. The other child is kneeling outside the tower, adding more sand to it. 
uncanny description: It's unusual for a sandcastle to be tall enough for a child to sit inside. 
entities: Children, Sandbox, Sandcastle 
Generate a funny caption for the image: [/INST]","you're ready for a castle upgrade from the usual moat and flag routine.""","your castle building skills outgrow the sandbox.""","you realize your castle needs an upgrade from the bottom.""","your castle dreams are bigger than your actual stature.""","you realize your castle isn't just a child's play, it's an architectural marvel!""","you realize your castle is taller than you thought.""","your castle ambitions outgrow the sandbox.""","building a castle doesn't feel grand enough—add a moat!""","you realize your castle isn't just a fortress—it's also your very own lookout post.""","your little brother promises to share the castle but forgets to mention 'once upon a time'."""
729,729.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: a castle 
description: Two royals, a king and a queen, are lounging in a hammock inside a castle. A guard is standing at the entrance, watching them. 
uncanny description: It is unusual for royalty to relax in a hammock inside a castle. 
entities: King, Queen, Guard, Hammock 
Generate a funny caption for the image: [/INST]","your kingdom's peace keeps you up all night—and day.""","the crown gets heavy, even royalty needs a chill sesh.""","your crown feels a little heavy, it's time for a royal nap!""","the court life gets a little too heavy, the royal family finds their throne suspended by a few simple strings.""","even your throne isn't big enough for a nap.""","your kingdom's peaceful enough for a cozy nap!""","the court life gets a little too 'reign' on you.""","'court life' becomes 'chill out' mode.""","the crown gets heavy, even kings need to take it easy.""","l relaxation meets medieval vigilance: When even the throne gets cozy."""
730,730.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: a laboratory 
description: A scientist is talking to a mouse wearing a lab coat in a laboratory. They are both holding clipboards and discussing something. 
uncanny description: It is unusual for a mouse to be dressed as a scientist and working in a lab. 
entities: Scientist, Mouse 
Generate a funny caption for the image: [/INST]","your research grant comes with its own mascot.""","the lab assistant's work ethic rivals even the most dedicated scientist.""","your lab partner insists on dressing up for the big experiment.""","your best idea comes from the smallest mind in the room.""","the lab rat suddenly becomes the lead researcher.""","your research project turns out to have a tiny, sharp-witted coauthor.""","your mouse assistant suddenly becomes a micro-managing genius.""","your best test subject becomes your toughest critic.""","your research assistant turns out to have a PhD in being adorable.""","your lab assistant has a PhD in cheesology."""
746,746.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: prehistoric landscape 
description: Two cavemen are in an open area. One caveman is standing on top of a tall, uneven stone staircase, while the other caveman is standing on the ground looking up at him. 
uncanny description: The stone staircase is unusually tall and uneven for a primitive setting. 
entities: Cavemen, Stone_staircase 
Generate a funny caption for the image: [/INST]","just one step ahead in our evolutionary climb.""","your friend tells you they've been working on their 'stone face'""","ld you we didn't need a GPS—this is our 'uphill' app!""","'Elevator' Pitfall: When your 'lift' has more steps than your social skills.""","ring his throat before delivering the keynote speech at the Neanderthal Convention.""","your friend asks 'How do you get to the top?' and you say 'Stone stairs.'""","your buddy tells you 'just follow these stairs'...""","your friend shows off their new sandals made from giant pebbles.""","one's cave is so distant it requires an elevated entrance.""","ancient version of 'I'll meet you halfway up.'"""
748,748.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: inside a large tunnel 
description: Two chefs are standing inside a large, ribbed tunnel. They are holding kitchen utensils and looking around. 
uncanny description: It is unusual for chefs to be inside a tunnel that looks like the inside of a giant creature. 
entities: Chefs, Kitchen_utensils 
Generate a funny caption for the image: [/INST]","you realize the secret ingredient in this restaurant's sauce is actually alien DNA.""","in the Entree: When your culinary adventure takes a wrong turn.""","you're trying to keep your cooking a secret from your culinary competition.""","your culinary creativity leads you through unexpected twists and turns.""","your culinary adventure takes a literal turn.""","your culinary skills lead you into the belly of the beast.""","your culinary adventure takes a literal turn.""","you're hired on as the new 'secret sauce' for a monster burger joint.""","your culinary adventure takes a literal turn!""","your sous chef shows up with a new 'oven mitigation' strategy."""
750,750.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: a field 
description: Two shaggy dogs are standing in a field surrounded by a group of sheep. The sheep and the dogs have similar fluffy appearances. 
uncanny description: The sheep look almost identical to the dogs, which is unusual. 
entities: Dogs, Sheep 
Generate a funny caption for the image: [/INST]","you realize your dog's grooming routine was just them blending into the herd.""","your best friend's new haircut makes them unrecognizable at first glance.""","your dog's grooming routine becomes so popular it attracts a whole herd.""","your dog's haircut goes so well they start blending in with the herd.""","your dog decides to join the farm life...""","your furry friends start herding better than you!""","your dog's breeder got a little confused at the petting zoo.""","let the dogs out? Oh wait, they're already here!""","your shepherd mixes up the herding instructions.""","you realize your family resemblance runs deeper than you thought."""
754,754.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: a fire station 
description: Two firefighters are standing next to a fire pole, looking down at the hole in the floor where the pole goes through. 
uncanny description: The fire pole seems to go through the floor into an endless void. 
entities: Firefighters, Fire_pole 
Generate a funny caption for the image: [/INST]","your career involves fighting fires and avoiding holes.""","you realize your new promotion comes with an extra layer of responsibility...""","you realize your favorite donut shop just moved across the endless abyss.""",", that's one way to keep the ladders organized.""","the alarm goes off and it's just another Tuesday.""","your ladder breaks and you're left hanging on by a thread.""","you realize your promotion comes with a side of vertigo.""",", looks like our escape plan just got a whole lot more exciting!""","s like someone forgot to put out the 'inferno' fire!"" - Dd","fighters pondering the mysteries of an infinite smoky escape tunnel."""
757,757.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: a park 
description: A couple is having a picnic in a park. They are looking up at the sky where the clouds have formed an angry face. 
uncanny description: Clouds don't form faces, especially not angry ones. 
entities: Picnic, Cloud_face 
Generate a funny caption for the image: [/INST]","your cheese sandwich suddenly becomes 'The Grim Reaper'""","s like we're having a 'stormy' weather day for our picnic!""","you realize your sandwich was forgotten at home.""","you realize your sandwich doesn't have enough mustard to deal with the weather's new mood.""","you accidentally put too much salt on your sandwich.""","weather just turned 'stormy' on our picnic!""","your picnic gets interrupted by Mother Nature's mood swing.""","s like Mother Nature isn't happy with our picnic today!""","your picnic gets cloudy... literally!""","you realize it's going to rain all day and your date brought a loaf of bread instead."""
543,543.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: a living room 
description: A large elephant is standing in the middle of a living room. Two people are sitting on chairs, seemingly ignoring the elephant. 
uncanny description: It is highly unusual to have an elephant inside a living room. 
entities: Elephant, People 
Generate a funny caption for the image: [/INST]","your family insists 'bigger isn't always better' gets a little too literal.""","your family's attempt at 'bonding time' goes awry.""","your friend shows up unexpectedly... but really should have called ahead.""","your neighbor accidentally invites you over for tea, and you're like, 'No biggie, just bring the elephant too!'""","r new pet is... well, it's certainly making itself at home!""","your roommate comes home early...""","you realize your pet elephant just joined the book club.""","you invite your friend over for a casual catch-up, and they bring their pet circus.""","your friend shows off their new pet and it's just... 'Oh, hi. Can we talk about something else?'"" -Kuper","your family says they're 'big fans' of nature documentaries."""
